doi,year,pmid,oa_indicator,oa_status
10.1001/jama.2016.14486,2016,27701623,Bronze,green
10.1001/jama.2016.14799,2016,27695824,Bronze,bronze
10.1001/jama.2016.1975,2016,26978208,"Green Accepted, Green Published, Bronze",bronze
10.1001/jama.2016.20165,2017,28118660,Bronze,green
10.1001/jama.2016.3608,2016,27039291,NA,bronze
10.1001/jama.2016.5444,2016,27299619,0,closed
10.1001/jama.2016.7635,2016,27367876,Bronze,bronze
10.1001/jama.2017.8978,2017,28742911,"Bronze, Green Published",green
10.1001/jamacardio.2016.0695,2016,27438315,Bronze,bronze
10.1001/jamacardio.2017.2275,2017,28768320,0,closed
10.1001/jamadermatol.2017.3029,2017,28903160,Bronze,green
10.1001/jamainternmed.2016.2514,2016,27428731,Bronze,bronze
10.1001/jamaneurol.2016.0292,2016,27088650,Bronze,bronze
10.1001/jamaneurol.2016.2067,2016,27400410,Bronze,bronze
10.1001/jamaneurol.2016.4226,2017,27893017,0,bronze
10.1001/jamaoncol.2016.5688,2017,27918777,"Green Published, Bronze",green
10.1001/jamaoncol.2016.5945,2017,28241208,"Green Accepted, Bronze, Green Published",green
10.1001/jamaoncol.2017.0417,2017,28384684,0,closed
10.1001/jamaoncol.2017.1007,2017,28715532,Bronze,green
10.1001/jamapediatrics.2015.4276,2016,26810619,"Green Published, Green Accepted, Bronze",bronze
10.1001/jamapediatrics.2017.2914,2017,28873129,Bronze,green
10.1001/jamapsychiatry.2015.2653,2016,26747373,Bronze,bronze
10.1001/jamapsychiatry.2016.0161,2016,27145286,Bronze,bronze
10.1001/jamapsychiatry.2016.3955,2017,28122091,Bronze,green
10.1001/jamapsychiatry.2017.3016,2017,29049554,NA,bronze
10.1002/14651858.cd001218.pub3,2016,27351677,Green Accepted,green
10.1002/14651858.cd003225.pub3,2017,28212466,NA,green
10.1002/14651858.cd004014.pub6,2016,0,0,green
10.1002/14651858.cd007587.pub2,2016,27092807,"Green Accepted, Bronze",green
10.1002/14651858.cd009116.pub2,2016,0,NA,closed
10.1002/14651858.cd009687.pub2,2016,26915340,Bronze,green
10.1002/14651858.cd011627.pub2,2016,0,Bronze,green
10.1002/14651858.cd012079,2016,26858090,"Bronze, Green Published",green
10.1002/14651858.cd012338,2016,0,NA,green
10.1002/14651858.cd012376,2016,0,Green Published,green
10.1002/14651858.cd012451,2016,0,NA,green
10.1002/14651858.cd012603,2017,0,NA,green
10.1002/14651858.cd012614,2017,0,NA,green
10.1002/14651858.cd012669,2017,0,NA,green
10.1002/1873-3468.12134,2016,26991327,Bronze,bronze
10.1002/1873-3468.12740,2017,28675784,Bronze,bronze
10.1002/1873-3468.12855,2017,28940390,Bronze,bronze
10.1002/1878-0261.12115,2017,28755527,"DOAJ Gold, Green Published",gold
10.1002/2211-5463.12000,2016,27047746,"DOAJ Gold, Green Published",gold
10.1002/2211-5463.12129,2016,27833851,"DOAJ Gold, Green Published",gold
10.1002/2211-5463.12261,2017,28904854,"DOAJ Gold, Green Published",gold
10.1002/acn3.277,2016,26900584,"DOAJ Gold, Green Published",gold
10.1002/acn3.331,2016,27648461,"DOAJ Gold, Green Published",gold
10.1002/acp.3319,2017,0,0,closed
10.1002/acr.22649,2016,26212111,"Other Gold, Green Published",hybrid
10.1002/acr.22667,2016,26275790,0,bronze
10.1002/acr.22741,2016,26414176,Bronze,bronze
10.1002/acr.22848,2016,26815944,"Other Gold, Green Published",hybrid
10.1002/acr.22894,2016,27015436,Bronze,bronze
10.1002/acr.23002,2017,27482854,Bronze,bronze
10.1002/acr.23092,2017,27696727,"Other Gold, Green Published",hybrid
10.1002/acr.23130,2017,27748074,"Bronze, Green Published",green
10.1002/acr.23185,2017,28029750,Bronze,closed
10.1002/acr.23233,2017,28235249,"Green Published, Other Gold",hybrid
10.1002/acr.23276,2017,28482137,Bronze,closed
10.1002/adhm.201500757,2016,26806652,Green Accepted,green
10.1002/adhm.201601185,2017,27995768,Green Accepted,green
10.1002/adhm.201700052,2017,0,"Other Gold, Green Published",hybrid
10.1002/adma.201701171,2017,28485089,Green Published,green
10.1002/advs.201600347,2017,28251054,"DOAJ Gold, Green Published",gold
10.1002/ajh.24820,2017,28612425,"Green Published, Other Gold",hybrid
10.1002/ajmg.a.37464,2016,26581570,0,closed
10.1002/ajmg.a.37547,2016,26799614,0,green
10.1002/ajmg.a.37560,2016,26822876,0,green
10.1002/ajmg.a.37562,2016,26762561,0,closed
10.1002/ajmg.a.37798,2016,27282648,0,closed
10.1002/ajmg.a.37800,2016,27311832,Bronze,closed
10.1002/ajmg.a.37816,2016,27351625,0,closed
10.1002/ajmg.a.37997,2017,27714920,0,closed
10.1002/ajmg.a.38142,2017,28168833,0,closed
10.1002/ajmg.a.38145,2017,28345786,0,closed
10.1002/ajmg.a.38164,2017,28371085,0,closed
10.1002/ajmg.a.38209,2017,28422407,0,closed
10.1002/ajmg.a.38345,2017,28742248,0,closed
