city,ncts
Aachen,NCT00159120
Aachen,NCT00159133
Aachen,NCT00466102
Aachen,NCT00470626
Aachen,NCT00538928
Aachen,NCT00554502
Aachen,NCT00559286
Aachen,NCT00572091
Aachen,NCT00630747
Aachen,NCT00763464
Aachen,NCT00764075
Aachen,NCT00764192
Aachen,NCT00771797
Aachen,NCT00785109
Aachen,NCT00787293
Aachen,NCT00793663
Aachen,NCT00874224
Aachen,NCT01080924
Aachen,NCT01088308
Aachen,NCT01168557
Aachen,NCT01199276
Aachen,NCT01242956
Aachen,NCT01262729
Aachen,NCT01264146
Aachen,NCT01264172
Aachen,NCT01266187
Aachen,NCT01266200
Aachen,NCT01285271
Aachen,NCT01294813
Aachen,NCT01341106
Aachen,NCT01363921
Aachen,NCT01365780
Aachen,NCT01389674
Aachen,NCT01407601
Aachen,NCT01441856
Aachen,NCT01515397
Aachen,NCT01540383
Aachen,NCT01552837
Aachen,NCT01578525
Aachen,NCT01601795
Aachen,NCT01626274
Aachen,NCT01627457
Aachen,NCT01644006
Aachen,NCT01644019
Aachen,NCT01644032
Aachen,NCT01644045
Aachen,NCT01644071
Aachen,NCT01647854
Aachen,NCT01708577
Aachen,NCT01712464
Aachen,NCT01742273
Aachen,NCT01761448
Aachen,NCT01778270
Aachen,NCT01789112
Aachen,NCT01812616
Aachen,NCT01837082
Aachen,NCT01839071
Aachen,NCT01839084
Aachen,NCT01884376
Aachen,NCT01885403
Aachen,NCT01888796
Aachen,NCT01934699
Aachen,NCT01941550
Aachen,NCT01955187
Aachen,NCT01966146
Aachen,NCT01969045
Aachen,NCT02001480
Aachen,NCT02002247
Aachen,NCT02002871
Aachen,NCT02004483
Aachen,NCT02004847
Aachen,NCT02022592
Aachen,NCT02027662
Aachen,NCT02066662
Aachen,NCT02077309
Aachen,NCT02129400
Aachen,NCT02135926
Aachen,NCT02142166
Aachen,NCT02188212
Aachen,NCT02232828
Aachen,NCT02262442
Aachen,NCT02270853
Aachen,NCT02315300
Aachen,NCT02322502
Aachen,NCT02350946
Aachen,NCT02368158
Aachen,NCT02380027
Aachen,NCT02382926
Aachen,NCT02395159
Aachen,NCT02413957
Aachen,NCT02415491
Aachen,NCT02435095
Aachen,NCT02451306
Aachen,NCT02453451
Aachen,NCT02530788
Aachen,NCT02536274
Aachen,NCT02539680
Aachen,NCT02543177
Aachen,NCT02555293
Aachen,NCT02577926
Aachen,NCT02585752
Aachen,NCT02617875
Aachen,NCT02715466
Aachen,NCT02722915
Aachen,NCT02735187
Aachen,NCT02778269
Aachen,NCT02781194
Aachen,NCT02790073
Aachen,NCT02798562
Aachen,NCT02809248
Aachen,NCT02836665
Aachen,NCT02934009
Aachen,NCT03022877
Aachen,NCT03033316
Aachen,NCT03036046
Aachen,NCT03036683
Aachen,NCT03052660
Aachen,NCT03070821
Aachen,NCT03079518
Aachen,NCT03095872
Aachen,NCT03109028
Aachen,NCT03117088
Aachen,NCT03124641
Aachen,NCT03132181
Aachen,NCT03137589
Aachen,NCT03149107
Aachen,NCT03171389
Aachen,NCT03183947
Aachen,NCT03205267
Aachen,NCT03270917
Aachen,NCT03334006
Aachen,NCT03378817
Aachen,NCT03385200
Aachen,NCT03387488
Aachen,NCT03404232
Aachen,NCT03418116
Aachen,NCT03466112
Aachen,NCT03503357
Aachen,NCT03504033
Aachen,NCT03509233
Aachen,NCT03511040
Aachen,NCT03554200
Aachen,NCT03558347
Aachen,NCT03563677
Aachen,NCT03661788
Aachen,NCT03668665
Aachen,NCT03681080
Aachen,NCT03748160
Aachen,NCT03777748
Aachen,NCT03854942
Berlin,NCT00064207
Berlin,NCT00114348
Berlin,NCT00125606
Berlin,NCT00136318
Berlin,NCT00146471
Berlin,NCT00148564
Berlin,NCT00148590
Berlin,NCT00148616
Berlin,NCT00158379
Berlin,NCT00168909
Berlin,NCT00168935
Berlin,NCT00168961
Berlin,NCT00168987
Berlin,NCT00170326
Berlin,NCT00170573
Berlin,NCT00170625
Berlin,NCT00170677
Berlin,NCT00170690
Berlin,NCT00189826
Berlin,NCT00231764
Berlin,NCT00232700
Berlin,NCT00243607
Berlin,NCT00252915
Berlin,NCT00261001
Berlin,NCT00268138
Berlin,NCT00271713
Berlin,NCT00289510
Berlin,NCT00310466
Berlin,NCT00337519
Berlin,NCT00368264
Berlin,NCT00370305
Berlin,NCT00382967
Berlin,NCT00398671
Berlin,NCT00406575
Berlin,NCT00407667
Berlin,NCT00408187
Berlin,NCT00409409
Berlin,NCT00419081
Berlin,NCT00432107
Berlin,NCT00437307
Berlin,NCT00437385
Berlin,NCT00445575
Berlin,NCT00449995
Berlin,NCT00472472
Berlin,NCT00473603
Berlin,NCT00479609
Berlin,NCT00509808
Berlin,NCT00511277
Berlin,NCT00512135
Berlin,NCT00521560
Berlin,NCT00525668
Berlin,NCT00530738
Berlin,NCT00531726
Berlin,NCT00538928
Berlin,NCT00543881
Berlin,NCT00546975
Berlin,NCT00552981
Berlin,NCT00558506
Berlin,NCT00563836
Berlin,NCT00567736
Berlin,NCT00568542
Berlin,NCT00568672
Berlin,NCT00576030
Berlin,NCT00579657
Berlin,NCT00590447
Berlin,NCT00596986
Berlin,NCT00598611
Berlin,NCT00600847
Berlin,NCT00610584
Berlin,NCT00615732
Berlin,NCT00616187
Berlin,NCT00623415
Berlin,NCT00626548
Berlin,NCT00627900
Berlin,NCT00629174
Berlin,NCT00633620
Berlin,NCT00633698
Berlin,NCT00636012
Berlin,NCT00650078
Berlin,NCT00670254
Berlin,NCT00672334
Berlin,NCT00673530
Berlin,NCT00674700
Berlin,NCT00685711
Berlin,NCT00715091
Berlin,NCT00715806
Berlin,NCT00723944
Berlin,NCT00727493
Berlin,NCT00746720
Berlin,NCT00750971
Berlin,NCT00751959
Berlin,NCT00758017
Berlin,NCT00758277
Berlin,NCT00772655
Berlin,NCT00778648
Berlin,NCT00787683
Berlin,NCT00799890
Berlin,NCT00822068
Berlin,NCT00835432
Berlin,NCT00841256
Berlin,NCT00842920
Berlin,NCT00844064
Berlin,NCT00844142
Berlin,NCT00844220
Berlin,NCT00850629
Berlin,NCT00852020
Berlin,NCT00865917
Berlin,NCT00865982
Berlin,NCT00866684
Berlin,NCT00866944
Berlin,NCT00869011
Berlin,NCT00871026
Berlin,NCT00871091
Berlin,NCT00876772
Berlin,NCT00883714
Berlin,NCT00883961
Berlin,NCT00884338
Berlin,NCT00884364
Berlin,NCT00888095
Berlin,NCT00905944
Berlin,NCT00910936
Berlin,NCT00912561
Berlin,NCT00914680
Berlin,NCT00919958
Berlin,NCT00929799
Berlin,NCT00929812
Berlin,NCT00930475
Berlin,NCT00932724
Berlin,NCT00942747
Berlin,NCT00946738
Berlin,NCT00951834
Berlin,NCT00953264
Berlin,NCT00953602
Berlin,NCT00953966
Berlin,NCT00958750
Berlin,NCT00970567
Berlin,NCT00974506
Berlin,NCT00982358
Berlin,NCT00986258
Berlin,NCT00993980
Berlin,NCT00996229
Berlin,NCT01006577
Berlin,NCT01013233
Berlin,NCT01013259
Berlin,NCT01014871
Berlin,NCT01035203
Berlin,NCT01045772
Berlin,NCT01047254
Berlin,NCT01047891
Berlin,NCT01049100
