doi,pmid,e_pub_year
10.1159/000485867,29456475,2018
10.1016/j.sleep.2017.07.026,29425575,2018
10.1155/2017/3035184,29422987,2018
10.18632/oncotarget.23409,29416773,2018
10.1016/j.jsat.2017.12.011,29415858,2018
10.1155/2017/1807056,29410959,2018
10.1016/j.fas.2017.04.007,29409233,2018
10.1016/j.jns.2017.12.006,29406898,2018
10.1556/1886.2017.00033,29403659,2018
10.1556/1886.2017.00028,29403655,2018
10.3389/fnhum.2017.00645,29403367,2018
10.1159/000484925,29402827,2018
10.1159/000486417,29402823,2018
10.1016/j.cjca.2017.11.018,29395702,2018
10.1097/PR9.0000000000000623,29392237,2018
10.3389/fimmu.2017.01976,29387058,2018
10.17420/ap6304.110,29385324,2018
10.5811/westjem.2017.11.35275,29383079,2018
10.3389/fimmu.2017.01844,29379498,2018
10.3389/fnmol.2017.00447,29375308,2018
10.3389/fnmol.2017.00439,29375302,2018
10.3389/fnins.2017.00746,29375290,2018
,29375041,2018
10.1093/eurheartj/ehx487,29370377,2018
10.1016/j.clinph.2017.11.030,29367166,2018
10.5812/ijcm.9430,29354800,2018
10.1177/1455072517712820,29354020,2018
,29351534,2018
,29351523,2018
10.1155/2017/1067598,29348965,2018
10.1182/bloodadvances.2017013334,29344579,2018
10.1159/000484416,29344016,2018
10.1159/000481145,29344015,2018
10.1053/j.jvca.2017.12.015,29338996,2018
10.2217/imt-2017-0034,29338611,2018
10.1155/2017/7849851,29333167,2018
10.1117/12.2254467,29332984,2018
10.1016/j.jpsychores.2017.12.005,29332628,2018
10.1007/s00393-017-0368-3,29330759,2018
10.1016/j.heliyon.2017.e00473,29322099,2018
10.1016/j.nicl.2017.12.035,29321971,2018
10.3389/fmicb.2017.02430,29321764,2018
10.1127/anthranz/2017/0721,29319715,2018
10.18632/oncotarget.22691,29312620,2018
10.3389/fmicb.2017.02590,29312263,2018
10.3389/fneur.2017.00724,29312139,2018
10.3389/fpsyg.2017.02223,29312071,2018
10.3389/fnhum.2017.00623,29311878,2018
10.1016/j.clinph.2017.11.020,29311009,2018
10.1016/j.molmet.2017.12.013,29310936,2018
10.1097/MD.0000000000008452,29310329,2018
10.1016/j.jpsychires.2017.11.010,29309960,2018
10.1093/ndt/gfx327,29309655,2018
10.3205/000261,29308063,2018
10.3205/000259,29308061,2018
10.1016/j.scr.2017.12.012,29304398,2018
10.1210/jc.2017-02257,29300902,2018
10.1186/s12912-017-0271-x,29299025,2018
10.1182/bloodadvances.2017006734,29296789,2018
10.1016/j.radonc.2017.12.007,29295747,2018
10.1177/0886260517739890,29294975,2018
10.1016/j.bios.2017.12.043,29294406,2018
10.1016/j.neuroimage.2017.12.094,29294388,2018
10.1016/j.neuroimage.2017.12.074,29294385,2018
10.1177/0022034517744189,29294296,2018
10.1016/j.tem.2017.12.003,29292062,2018
10.1016/j.msard.2017.12.018,29291481,2018
10.18632/oncotarget.22468,29290959,2018
10.1016/j.jse.2017.10.022,29290607,2018
10.1016/j.neuron.2017.12.002,29290552,2018
10.1016/j.tem.2017.11.008,29290501,2018
10.1007/s00018-017-2728-1,29290039,2018
10.1007/s00417-017-3882-8,29290014,2018
10.1038/s41431-017-0011-4,29289958,2018
10.1016/j.taap.2017.12.016,29289672,2018
10.1016/j.yjmcc.2017.12.012,29289652,2018
10.1016/j.peptides.2017.12.023,29288684,2017
10.1136/bmjopen-2017-018966,29288186,2017
10.1136/bmjopen-2017-017974,29288179,2017
10.1016/j.neuroimage.2017.12.083,29288130,2017
10.1016/j.bbagen.2017.12.009,29288125,2017
10.1016/j.clim.2017.12.010,29287794,2017
10.1016/j.amjoto.2017.11.010,29287720,2017
10.1002/acr.23503,29287313,2017
10.1371/journal.pone.0189436,29287080,2017
10.3791/55746,29286437,2017
10.3791/56419,29286394,2017
10.1007/s00392-017-1190-2,29285622,2017
10.1186/s10194-017-0823-1,29285572,2017
10.18632/oncotarget.22413,29285300,2017
10.1161/STROKEAHA.117.019431,29284734,2017
10.1186/s12888-017-1579-5,29284443,2017
10.1055/s-0043-123940,29284172,2017
10.1007/s00402-017-2864-y,29282525,2017
10.1186/s12955-017-0822-6,29282066,2017
10.1111/ddg.13401,29280595,2017
10.1002/ejhf.1100,29280256,2017
10.1158/0008-5472.CAN-17-2129,29279356,2017
10.1161/HYPERTENSIONAHA.117.09975,29279316,2017
10.1016/j.copsyc.2017.03.016,29279212,2017
10.1177/2048872617748553,29278915,2017
10.1016/j.biopha.2017.12.101,29278855,2017
10.1097/INF.0000000000001872,29278611,2017
10.1111/iwj.12883,29277963,2017
10.1016/j.jprot.2017.12.005,29277644,2017
10.1016/j.wneu.2017.12.095,29277587,2017
10.1053/j.gastro.2017.12.020,29277560,2017
10.1016/j.ceb.2017.12.004,29276950,2017
10.1177/2050312117744978,29276589,2017
10.1016/j.euroneuro.2017.12.005,29275843,2017
10.1016/j.ijom.2017.11.013,29275838,2017
10.1016/j.neures.2017.12.006,29275162,2017
10.1016/j.conb.2017.12.006,29274917,2017
10.1016/j.amjcard.2017.11.004,29274808,2017
10.1016/j.biopsych.2017.10.028,29274805,2017
10.1016/j.neuroimage.2017.12.030,29274748,2017
10.1038/s41588-017-0014-7,29273806,2017
10.1038/s41467-017-02322-5,29273751,2017
10.1038/s41467-017-02482-4,29273735,2017
10.1136/jnnp-2017-315962,29273692,2017
10.1053/j.gastro.2017.12.008,29273450,2017
10.1016/j.neuroscience.2017.12.014,29273325,2017
10.1186/s13293-017-0159-1,29273081,2017
10.1080/00015385.2017.1420438,29272990,2017
10.1016/j.ejca.2017.11.020,29272782,2017
10.1093/infdis/jix539,29272526,2017
10.1371/journal.pone.0190051,29272319,2017
10.1371/journal.pone.0190179,29272308,2017
10.3390/ma11010009,29271891,2017
10.1002/ajmg.a.38562,29271569,2017
10.1111/cei.13093,29271486,2017
10.1038/modpathol.2017.171,29271415,2017
10.3238/arztebl.2017.0858,29271345,2017
