,doi,id,pmid,year
0,10.1002/hep.30925,pub.1120832821,31483871,2019
1,10.1080/20008198.2019.1568134,pub.1112116251,30788063,2019
2,10.1111/jch.13787,pub.1123746530,31891443,2019
3,10.1371/journal.pone.0226843,pub.1123756059,31891612,2019
4,10.1080/20008198.2019.1694766,pub.1122945616,31807235,2019
5,10.1371/journal.pone.0226511,pub.1123733006,31887163,2019
6,10.1001/jamaneurol.2019.4476,pub.1123686552,31886870,2019
7,10.1111/cen.14149,pub.1123720012,31886890,2019
8,10.1002/ehf2.12583,pub.1123722838,31886636,2019
9,10.1111/aas.13523,pub.1123309587,31828754,2019
10,10.1111/rda.13598,pub.1123685873,31880350,2019
11,10.1089/end.2019.0756,pub.1123686955,31880953,2019
12,10.1111/apha.13435,pub.1123667774,31876349,2019
13,10.1113/jp278362,pub.1123667437,31876958,2019
14,10.1001/jamadermatol.2019.3617,pub.1123669439,31876900,2019
15,10.1111/aas.13528,pub.1123309575,31830304,2019
16,10.3390/nu12010064,pub.1123702744,31881808,2019
17,10.18632/oncotarget.27270,pub.1123652055,31903168,2019
18,10.1111/resp.13760,pub.1123612324,31872530,2019
19,10.1128/aac.01984-19,pub.1123517600,31871093,2019
20,10.3390/nu12010047,pub.1123654902,31878000,2019
21,10.1007/s00223-019-00648-4,pub.1123609038,31873756,2019
22,10.1007/s00066-019-01562-2,pub.1123616012,31873779,2019
23,10.1111/nan.12590,pub.1123604631,31867747,2019
24,10.1002/pbc.28130,pub.1123605226,31867835,2019
25,10.1002/ejhf.1689,pub.1123557199,31863684,2019
26,10.1007/s11357-019-00147-2,pub.1123594162,31865527,2019
27,10.1093/ajh/hpz198,pub.1123514036,31863113,2019
28,10.1007/s10571-019-00770-9,pub.1123533206,31858356,2019
29,10.2967/jnumed.119.234062,pub.1123563742,31862798,2019
30,10.1371/journal.pone.0226561,pub.1123547638,31860679,2019
31,10.1007/s00391-019-01670-9,pub.1123563808,31863167,2019
32,10.1164/rccm.201910-1943so,pub.1123545062,31860331,2019
33,10.1002/ejhf.1698,pub.1123553333,31863563,2019
34,10.1183/13993003.01302-2019,pub.1123563733,31862765,2019
35,10.1200/jco.19.01694,pub.1122023945,31644328,2019
36,10.1017/s0033291719003477,pub.1123533748,31858923,2019
37,10.1007/s00402-019-03329-x,pub.1123533069,31858219,2019
38,10.1038/s41380-019-0631-x,pub.1123532931,31857689,2019
39,10.1007/s11684-019-0713-9,pub.1123533217,31858367,2019
40,10.3324/haematol.2019.232827,pub.1123532710,31857369,2019
41,10.1002/ana.25658,pub.1123045704,31788832,2019
42,10.1007/s00115-019-00855-2,pub.1123508710,31853578,2019
43,10.3390/cancers12010001,pub.1123562978,31861273,2019
44,10.1002/pbc.28127,pub.1123474398,31850671,2019
45,10.1515/revneuro-2019-0044,pub.1120528617,31437125,2019
46,10.1007/s12024-019-00209-z,pub.1123509149,31853826,2019
47,10.1515/jpm-2019-0246,pub.1123216185,31811808,2019
48,10.3233/ch-180485,pub.1112093685,30775972,2019
49,10.1038/s41409-019-0763-2,pub.1123463080,31848450,2019
50,10.1093/rheumatology/kez577,pub.1122528409,31846042,2019
51,10.1111/jpc.14721,pub.1123476190,31849143,2019
52,10.1089/cap.2019.0087,pub.1123470298,31851522,2019
53,10.3390/biom9120886,pub.1123562851,31861139,2019
54,10.1111/echo.14557,pub.1123447618,31841232,2019
55,10.3390/nu11123063,pub.1123458492,31888122,2019
56,10.1093/ehjcvp/pvz082,pub.1123289749,31841131,2019
57,10.1007/s00330-019-06522-z,pub.1123439336,31844958,2019
58,10.3390/jcm8122224,pub.1123494877,31888226,2019
59,10.1038/s41588-019-0547-z,pub.1123433002,31844324,2019
60,10.1111/bjd.18621,pub.1121930423,31628863,2019
61,10.1164/rccm.201903-0624oc,pub.1120275231,31404499,2019
62,10.1002/hbm.24766,pub.1120488585,31441562,2019
63,10.1017/s0007114519002253,pub.1120793062,31477198,2019
64,10.1007/s00436-019-06564-8,pub.1123348331,31836921,2019
65,10.1111/all.14153,pub.1123343559,31833579,2019
66,10.1111/pai.13177,pub.1122665619,31736128,2019
67,10.1371/journal.ppat.1008224,pub.1123323298,31830128,2019
68,10.1111/bph.14871,pub.1122174014,31663129,2019
69,10.1002/ejhf.1667,pub.1123311764,31833168,2019
70,10.1093/cercor/bhz270,pub.1121802611,31828294,2019
71,10.1007/s00520-019-05216-y,pub.1123286653,31828488,2019
72,10.1007/s42000-019-00150-4,pub.1123263207,31823341,2019
73,10.1371/journal.pone.0225026,pub.1123293227,31825966,2019
74,10.1111/ajt.15634,pub.1121575483,31595669,2019
75,10.1002/1878-0261.12615,pub.1123261396,31825142,2019
76,10.1371/journal.pone.0226005,pub.1123267855,31821351,2019
77,10.1002/ana.25653,pub.1123013124,31782158,2019
78,10.1007/s00393-019-00735-9,pub.1123270429,31822993,2019
79,10.1007/s00784-019-03164-9,pub.1123261764,31823023,2019
80,10.1155/2019/1085717,pub.1123267565,31886153,2019
81,10.1038/s41416-019-0664-6,pub.1123235863,31819194,2019
82,10.1073/pnas.1905787116,pub.1122680725,31740610,2019
83,10.1001/jama.2019.17331,pub.1122583998,31725822,2019
84,10.1007/s00256-019-03330-w,pub.1123260916,31822941,2019
85,10.1002/ejhf.1663,pub.1123235166,31820559,2019
86,10.1007/s00586-019-06242-4,pub.1123236505,31820094,2019
87,10.1111/all.14144,pub.1123229060,31815297,2019
88,10.1002/ejhf.1673,pub.1123228670,31816162,2019
89,10.1002/1878-0261.12611,pub.1123224783,31816156,2019
90,10.1136/annrheumdis-2019-216735,pub.1123243457,31818807,2019
91,10.1007/s11357-019-00142-7,pub.1123241242,31820363,2019
92,10.15403/jgld-397,pub.1123274492,31826054,2019
93,10.1002/ejhf.1678,pub.1123224831,31815347,2019
94,10.1111/acps.13139,pub.1123222029,31814102,2019
95,10.1159/000504525,pub.1123203468,31812967,2019
96,10.1007/s00330-019-06430-2,pub.1123193604,31811428,2019
97,10.1111/ijpo.12601,pub.1123195723,31810110,2019
98,10.1002/14651858.cd002243.pub4,pub.1123161842,31808551,2019
99,10.1111/jdv.16044,pub.1123166728,31805604,2019
100,10.1056/nejmc1904905,pub.1123127892,31800997,2019
101,10.1002/jbmr.3911,pub.1122308350,31805212,2019
102,10.1371/journal.pone.0225995,pub.1123162542,31805176,2019
103,10.3174/ajnr.a6321,pub.1123151533,31806594,2019
104,10.1007/s10571-019-00765-6,pub.1123156282,31808010,2019
105,10.1002/ehf2.12576,pub.1123124203,31800152,2019
106,10.1007/s12072-019-10001-4,pub.1123125785,31802390,2019
107,10.1080/21691401.2018.1548476,pub.1111541938,30663396,2019
108,10.1007/s00256-019-03343-5,pub.1123125174,31802167,2019
109,10.1111/apa.15101,pub.1122747734,31746008,2019
110,10.1093/cid/ciz953,pub.1121452969,31793638,2019
111,10.1111/bjh.16306,pub.1123096780,31797346,2019
112,10.1007/s00270-019-02386-4,pub.1123120257,31797103,2019
113,10.1007/s10334-019-00810-x,pub.1123093996,31797228,2019
114,10.1055/a-1023-4756,pub.1123095197,31797336,2019
115,10.1111/hepr.13455,pub.1122750033,31747477,2019
116,10.1002/ejhf.1674,pub.1123092764,31797504,2019
117,10.1093/ejcts/ezz329,pub.1122928558,31793992,2019
118,10.1182/blood.2019001866,pub.1123097738,31794606,2019
119,10.1117/1.jbo.24.12.125001,pub.1123096987,31797647,2019
120,10.3389/fimmu.2019.02847,pub.1123087765,31849996,2019
121,10.1111/bjd.18708,pub.1123046647,31788790,2019
122,10.1080/14712598.2019.1671350,pub.1121230904,31550937,2019
123,10.1001/jamanetworkopen.2019.16800,pub.1123124138,31800073,2019
124,10.1002/ejhf.1654,pub.1123088033,31793144,2019
125,10.3390/jcm8122126,pub.1123114155,31810363,2019
126,10.1002/pon.5282,pub.1122508674,31713281,2019
127,10.1093/eurheartj/suz242,pub.1123607793,31885510,2019
128,10.2217/ijh-2019-0010,pub.1123501115,31903182,2019
129,10.1089/lap.2019.0427,pub.1122202589,31670608,2019
130,10.1001/jamadermatol.2019.2941,pub.1121838201,31617856,2019
131,10.1093/ndt/gfz218,pub.1121802690,31800077,2019
132,10.1097/qad.0000000000002360,pub.1122866266,31764111,2019
133,10.4049/jimmunol.1900465,pub.1121931375,31628153,2019
134,10.1001/jamapsychiatry.2019.2859,pub.1121437517,31577342,2019
135,10.1093/annonc/mdz411,pub.1121371900,31566661,2019
136,10.2217/mmt-2019-0015,pub.1121501272,31871622,2019
137,10.1556/2006.8.2019.63,pub.1123356626,31830811,2019
