retrieval_date,total_unreported,total_reported,total_due,not_yet_due_trials,inconsistent_trials,total_trials
2021-11-08,34,89,123,66,16,205
2021-10-04,30,87,117,71,17,205
2021-09-04,32,82,114,73,18,205
2021-07-06,31,53,84,78,41,203
2021-06-03,31,50,81,80,40,201
2021-05-04,34,46,80,77,41,198
2021-04-02,32,45,77,80,40,197
2021-03-06,32,45,77,85,36,198
2021-02-02,33,42,75,87,35,197
2021-01-22,34,41,75,89,34,198
2020-12-02,36,38,74,90,32,196
2020-11-02,37,36,73,92,32,197
2020-10-01,48,25,73,91,32,196
2020-09-02,59,14,73,89,32,194
2020-08-03,70,3,73,92,31,196
2020-07-02,69,3,72,91,31,194
2020-06-02,69,3,72,90,31,193
2020-05-03,69,3,72,92,31,195
2020-04-02,69,3,72,92,31,195
2020-03-02,68,3,71,91,31,193
2020-02-01,69,2,71,91,31,193
2020-01-02,69,2,71,90,31,192
2022-09-23,7,143,150,54,6,210
2022-09-04,7,143,150,54,6,210
2022-08-07,7,142,149,54,6,209
2022-07-04,8,136,144,58,7,209
2022-06-06,11,131,142,59,8,209
2022-05-20,17,123,140,61,7,208
2022-04-04,24,111,135,61,11,207
2022-04-02,26,109,135,60,11,206
2022-03-21,25,109,134,61,11,206
2022-02-18,28,104,132,62,12,206
2022-02-05,32,99,131,62,12,205
2022-01-11,31,99,130,63,12,205
2021-12-10,34,93,127,64,14,205
2022-11-07,8,148,156,48,6,210
2022-10-11,5,147,152,52,6,210
2022-09-04,7,143,150,54,6,210
2022-08-07,7,142,149,54,6,209
2022-07-04,8,136,144,58,7,209
2022-06-06,11,131,142,59,8,209
2022-05-20,17,123,140,61,7,208
2022-04-04,24,111,135,61,11,207
2022-04-02,26,109,135,60,11,206
2022-03-21,25,109,134,61,11,206
2022-02-18,28,104,132,62,12,206
2022-02-05,32,99,131,62,12,205
2022-01-11,31,99,130,63,12,205
2021-12-10,34,93,127,64,14,205
2022-12-13,6,150,156,48,6,210
2023-05-18,5,156,161,46,6,213
2023-04-12,5,156,161,45,6,212
2023-03-06,6,155,161,43,6,210
2023-02-17,6,155,161,42,6,209
2023-01-17,5,154,159,44,6,209
2023-09-07,0,161,161,45,8,214
2023-08-07,0,161,161,44,8,213
2023-07-11,2,159,161,44,8,213
2023-06-20,3,158,161,46,6,213
2024-01-10,1,161,162,43,8,213
2023-12-04,0,161,161,44,8,213
2023-11-07,0,161,161,44,8,213
2024-04-07,0,165,165,41,8,214
2024-03-07,0,163,163,43,8,214
2024-02-12,0,162,162,43,8,213
