doi,year,in_PURE,is_open_data_oddpub,open_data_manual_check,open_data_category,open_data_category_manual,is_open_code_oddpub,open_code_manual_check,open_code_category_manual,open_data_statements,open_code_statements
10.1002+cpmb.108.txt,NA,TRUE,FALSE,,,,TRUE,TRUE,github,,the basic protocol and example results are provided in our github repository: https://github.com/sgddnb/translational_regulation.git.;     materials hardware computer running unix linux or mac os x administrative privileges and internet connection to install packages software dteg.r and goi_viz.r script: these scripts can be downloaded from our github page by typing the following command in the terminal window: $ git clone https://github.com/sgddnb/translational_regulation.git r: https://cran.r-project.org/bin/windows/base/ chothani et al.  5 of 22 current protocols in molecular biology   rstudio: https://www.rstudio.com/products/rstudio/download/ deseq2: https://bioconductor.org/packages/release/bioc/html/deseq2.html deseq2 can also be installed in r by typing the following command: > if(! internet resources https://github.com/sgddnb/translational_ regulation.git github page with scripts for basic protocol. http://www.usadellab.org/cms/uploads/ supplementary/trimmomatic/trimmomatic manual_v0.32.pdf manual for trimmomatic. http://bowtie-bio.sourceforge.net/bowtie2/manual. shtml manual for bowtie2.
10.1002+cyto.a.22626.txt,NA,TRUE,FALSE,,,,TRUE,TRUE,other repository/website,,as a prerequisite for interpretation of such data it will support our efforts in developing immunological biomarkers for chronic inflammatory disorders and therapy recommendations in personalized medicine. immunoclust is implemented as an r-package and is provided as source code from www.bioconductor.org.
10.1002+glia.23719.txt,NA,TRUE,FALSE,,,,TRUE,TRUE,github,,imagej (nih) and matlab scripts available at https://github.com/ attwelllab/microglia.;     the code used is available at https://github.com/  250 g for 4 min.
10.1002+hbm.23563.txt,NA,TRUE,FALSE,,,,TRUE,TRUE,github,,the toolbox is open source and publicly available (https://github.com/trislett/tfce_mediation).;     tfce_mediation is publicly available under gpl 3.0 license (https://github.com/trislett/tfce_mediation).;     furthermore we reduced the statistical “black-box” by having our source code easily accessible to any user with moderate programming experience.
10.1002+humu.22851.txt,NA,TRUE,FALSE,,,,TRUE,FALSE,,,the exomiser was selected because the source code was readily available and because the phive score [robinson et al. 2014] uses model organism data instead of human data decreasing the likelihood that disease–gene associations (e.g. those found in omim) published using phenomecentral patients were included in the training data for the algorithm.
10.1002+humu.22857.txt,NA,TRUE,FALSE,,,,TRUE,FALSE,,,currently deployed on the monarch initiative website phenogrid is available as a reusable web widget (http://www.github.com/monarch-initiative/phenogrid) that can be easily adapted and integrated into mme installations for the purposes of comparing patients known diseases and model organisms.
10.1002+sim.7531.txt,NA,TRUE,FALSE,,,,TRUE,TRUE,supplement,,the r code implementing the calculations required for the illustrating examples is provided as supporting information to ease application in practice.;     the r source code for the corresponding permutation test is provided as supporting information so application in practice is straightforward.;     the corresponding r code is provided as supporting information to ease application in practice.;     the corresponding r code is provided as supporting information to ease application in practice. the r code implementing the calculations required for the illustrating examples is provided as supporting information to ease application in practice.;     the r source code for the corresponding permutation test is provided as supporting information so application in practice is straightforward.;     the corresponding r code is provided as supporting information to ease application in practice.;     the corresponding r code is provided as supporting information to ease application in practice.;     we have implemented the permutation test for the weighted all-cause hazard ratio in the software r and provide the source code as supporting information.
10.1007+978-1-4939-9658-2_14.txt,NA,TRUE,FALSE,,,,TRUE,TRUE,github,,our programs are available at https://github.com/attwelllab/microglia.;     programs are available at https://github. com/attwelllab/microglia but see also [24] for an alternative.
10.1007+s00204-016-1761-4.txt,NA,TRUE,FALSE,,,,TRUE,FALSE,,,a classification probability and a metric of the gene regulatory networks (grn) status related to 16 specific mouse and human tissues and cells were calculated using the cellnet platform (cahan et al. 2014) using the locally available r version of the software cellnet http:// pcahan1.github.io/cellnetr/.
10.1007+s00335-015-9577-8.txt,NA,TRUE,FALSE,,,,TRUE,FALSE,,,for software developers phenogrid is available as an open-source widget suitable for integration in third-party websites (www.github.com/monarch-initiative/phenogrid) and is customizable with respect to organism genotypes versus genes and user-specified comparisons.
