"doi";"open_data_manual_check";"restricted_manual_check";"has_restricted";"has_data_access";"data_access";"has_own_data";"has_data_reuse";"open_data_category_manual";"has_only_reuse"
"10.1002/wps.21056";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.phymed.2023.154838";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/metabo13010011";FALSE;FALSE;FALSE;FALSE;"reuse_access|reuse_access|reuse_access";FALSE;TRUE;NA;TRUE
"10.3390/ijms24044135";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.ekir.2022.10.024";FALSE;FALSE;FALSE;TRUE;"yes";FALSE;TRUE;NA;TRUE
"10.3390/vaccines11081361";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1002/mds.29562";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.3390/molecules28207096";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1186/s10194-023-01594-1";FALSE;FALSE;FALSE;FALSE;"not_persistent";FALSE;FALSE;NA;FALSE
"10.3390/ijms24076096";FALSE;FALSE;FALSE;TRUE;"yes";FALSE;TRUE;NA;TRUE
"10.1016/j.phrs.2023.106971";FALSE;FALSE;FALSE;TRUE;"yes";FALSE;TRUE;NA;TRUE
"10.1016/j.xgen.2023.100402";FALSE;FALSE;FALSE;TRUE;"restricted|yes";FALSE;TRUE;NA;TRUE
"10.1016/j.ynirp.2022.100155";FALSE;FALSE;FALSE;FALSE;"not_persistent";FALSE;FALSE;NA;FALSE
"10.1038/s41419-023-06077-4";FALSE;FALSE;FALSE;TRUE;"yes";FALSE;TRUE;NA;TRUE
"10.1038/s41598-023-30613-z";FALSE;FALSE;FALSE;FALSE;"not_persistent";FALSE;FALSE;NA;FALSE
"10.1093/infdis/jiad244";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1111/pai.13854";FALSE;FALSE;FALSE;TRUE;"yes";FALSE;TRUE;NA;TRUE
"10.1146/annurev-cancerbio-061521-082320";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1172/jci164637";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.jclinepi.2023.04.008";FALSE;FALSE;FALSE;FALSE;"not_persistent";FALSE;FALSE;NA;FALSE
"10.1016/j.semarthrit.2023.152313";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1016/j.tins.2023.03.009";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1038/s41541-023-00713-y";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1039/d3sc03739h";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
"10.1111/bph.16051";FALSE;FALSE;FALSE;FALSE;"";FALSE;FALSE;NA;FALSE
