article,is_open_data,open_data_category,is_open_code,open_data_statements,open_code_statements,year
10.1002+cpmb.108.txt,FALSE,,TRUE,,the basic protocol and example results are provided in our github repository: https://github.com/sgddnb/translational_regulation.git.;     materials hardware computer running unix linux or mac os x administrative privileges and internet connection to install packages software dteg.r and goi_viz.r script: these scripts can be downloaded from our github page by typing the following command in the terminal window: $ git clone https://github.com/sgddnb/translational_regulation.git r: https://cran.r-project.org/bin/windows/base/ chothani et al.  5 of 22 current protocols in molecular biology   rstudio: https://www.rstudio.com/products/rstudio/download/ deseq2: https://bioconductor.org/packages/release/bioc/html/deseq2.html deseq2 can also be installed in r by typing the following command: > if(! internet resources https://github.com/sgddnb/translational_ regulation.git github page with scripts for basic protocol. http://www.usadellab.org/cms/uploads/ supplementary/trimmomatic/trimmomatic manual_v0.32.pdf manual for trimmomatic. http://bowtie-bio.sourceforge.net/bowtie2/manual. shtml manual for bowtie2.,Open_Code_missing
10.1002+cyto.a.22626.txt,FALSE,,TRUE,,as a prerequisite for interpretation of such data it will support our efforts in developing immunological biomarkers for chronic inflammatory disorders and therapy recommendations in personalized medicine. immunoclust is implemented as an r-package and is provided as source code from www.bioconductor.org.,Open_Code_missing
10.1002+glia.23719.txt,FALSE,,TRUE,,imagej (nih) and matlab scripts available at https://github.com/ attwelllab/microglia.;     the code used is available at https://github.com/  250 g for 4 min.,Open_Code_missing
10.1002+hbm.23563.txt,FALSE,,TRUE,,the toolbox is open source and publicly available (https://github.com/trislett/tfce_mediation).;     tfce_mediation is publicly available under gpl 3.0 license (https://github.com/trislett/tfce_mediation).;     furthermore we reduced the statistical “black-box” by having our source code easily accessible to any user with moderate programming experience.,Open_Code_missing
10.1002+humu.22851.txt,FALSE,,TRUE,,the exomiser was selected because the source code was readily available and because the phive score [robinson et al. 2014] uses model organism data instead of human data decreasing the likelihood that disease–gene associations (e.g. those found in omim) published using phenomecentral patients were included in the training data for the algorithm.,Open_Code_missing
10.1002+humu.22857.txt,FALSE,,TRUE,,currently deployed on the monarch initiative website phenogrid is available as a reusable web widget (http://www.github.com/monarch-initiative/phenogrid) that can be easily adapted and integrated into mme installations for the purposes of comparing patients known diseases and model organisms.,Open_Code_missing
10.1002+sim.7531.txt,FALSE,,TRUE,,the r code implementing the calculations required for the illustrating examples is provided as supporting information to ease application in practice.;     the r source code for the corresponding permutation test is provided as supporting information so application in practice is straightforward.;     the corresponding r code is provided as supporting information to ease application in practice.;     the corresponding r code is provided as supporting information to ease application in practice. the r code implementing the calculations required for the illustrating examples is provided as supporting information to ease application in practice.;     the r source code for the corresponding permutation test is provided as supporting information so application in practice is straightforward.;     the corresponding r code is provided as supporting information to ease application in practice.;     the corresponding r code is provided as supporting information to ease application in practice.;     we have implemented the permutation test for the weighted all-cause hazard ratio in the software r and provide the source code as supporting information.,Open_Code_missing
10.1007+978-1-4939-9658-2_14.txt,FALSE,,TRUE,,our programs are available at https://github.com/attwelllab/microglia.;     programs are available at https://github. com/attwelllab/microglia but see also [24] for an alternative.,Open_Code_missing
10.1007+s00204-016-1761-4.txt,FALSE,,TRUE,,a classification probability and a metric of the gene regulatory networks (grn) status related to 16 specific mouse and human tissues and cells were calculated using the cellnet platform (cahan et al. 2014) using the locally available r version of the software cellnet http:// pcahan1.github.io/cellnetr/.,Open_Code_missing
10.1007+s00335-015-9577-8.txt,FALSE,,TRUE,,for software developers phenogrid is available as an open-source widget suitable for integration in third-party websites (www.github.com/monarch-initiative/phenogrid) and is customizable with respect to organism genotypes versus genes and user-specified comparisons.,Open_Code_missing
10.1007+s10548-014-0389-z.txt,FALSE,,TRUE,,ica components reflecting eye blinks or noise were identified and removed using a custom-written plugin (available at https://github.com/dnacombo/auto rejica).,Open_Code_missing
10.1016+j.cell.2018.01.008.txt,FALSE,,TRUE,,code for 3d-sim analyses has been deposited to github.  e6 cell 172 706–718.e1–e6 february 8 2018   supplemental figures  figure s1. code for 3d-sim analyses has been deposited to github.  e6 cell 172 706–718.e1–e6 february 8 2018   supplemental figures  figure s1.,Open_Code_missing
10.1016+j.cell.2018.09.050.txt,FALSE,,TRUE,,data and software availability raw images raw data fiji and r scripts are available upon request.  e7 cell 175 1418–1429.e1–e7 november 15 2018   supplemental figures a  control  metformin  control  slm4  def1  pbi2  atp4  metformin  total bre5  rpl41b  yeh1  srn2  shr5  asc1  uba4  yll056c  ncs6  mit1  ade3  lsm6  urm1  nsr1  met10  met7  more more sensitive resistant  significant hits hdpca  96  11  5  not significant hits hdpca  48  0  0  more sensitive to metformin more resistant to metformin no effect (controls)  pom33  b  tor signaling 3504 3162  -17  10 -2 10  403  10  1  10  -2 -14  ranking p-value  mds3 seh1 tor1 avo2 bit2 meh1 ego2  c  dna repair − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − − −  hht1 lys20 def1 rad51 ino80 pol1 psf3 sld3 rfc4 ddr48 dot1  slx5 rfc3 pan2 fyv6 uls1 rad24 rad17 blm10  snf5 rvb1 slx4 rad52 slx8 hpr1 snf6 nhp6b  − − − − − − − − − − −  negative on metformin in hdpca  positive on metformin in hdpca  figure s1.,Open_Code_missing
10.1016+j.ijmedinf.2018.12.011.txt,FALSE,,TRUE,,all material and software produced are available in a github repository [15].;     assess ct wp2.3 analysis resources; available from: https://github.com/joseminya/assessct_wp2_t2-3.,Open_Code_missing
