article,is_open_data,is_open_code
10.1001+jama.2019.1113.txt,FALSE,FALSE
10.1001+jama.2019.13014.txt,FALSE,FALSE
10.1001+jama.2019.14608.txt,FALSE,FALSE
10.1001+jama.2019.15600.txt,FALSE,FALSE
10.1001+jama.2019.17331.txt,FALSE,FALSE
10.1001+jama.2019.9053.txt,FALSE,FALSE
10.1001+jamacardio.2019.1049.txt,FALSE,FALSE
10.1001+jamacardio.2019.1739.txt,FALSE,FALSE
10.1001+jamadermatol.2019.0279.txt,FALSE,FALSE
10.1001+jamadermatol.2019.2941.txt,FALSE,FALSE
10.1001+jamadermatol.2019.3617.txt,FALSE,FALSE
10.1001+jamainternmed.2018.8016.txt,FALSE,FALSE
10.1001+jamanetworkopen.2018.0769.txt,FALSE,FALSE
10.1001+jamanetworkopen.2019.0896.txt,FALSE,FALSE
10.1001+jamanetworkopen.2019.16800.txt,FALSE,FALSE
10.1001+jamanetworkopen.2019.5844.txt,FALSE,FALSE
10.1001+jamaneurol.2018.4822.txt,FALSE,FALSE
10.1001+jamaneurol.2019.0351.txt,FALSE,FALSE
10.1001+jamaneurol.2019.0617.txt,FALSE,FALSE
10.1001+jamaneurol.2019.0905.txt,FALSE,FALSE
10.1001+jamaneurol.2019.2478.txt,FALSE,FALSE
10.1001+jamaneurol.2019.4476.txt,FALSE,FALSE
10.1001+jamaoncol.2018.6766.txt,FALSE,FALSE
10.1001+jamaoncol.2019.0402.txt,FALSE,FALSE
10.1001+jamaoncol.2019.3531.txt,FALSE,FALSE
10.1001+jamapsychiatry.2018.4126.txt,FALSE,FALSE
10.1001+jamapsychiatry.2018.4320.txt,FALSE,FALSE
10.1001+jamapsychiatry.2019.1702.txt,FALSE,FALSE
10.1001+jamapsychiatry.2019.1937.txt,FALSE,FALSE
10.1001+jamapsychiatry.2019.2859.txt,FALSE,FALSE
10.1001+jamapsychiatry.2019.3009.txt,FALSE,FALSE
10.1001+jamapsychiatry.2019.3377.txt,FALSE,FALSE
10.1001+jamapsychiatry.2019.4063.txt,FALSE,FALSE
10.1002+14651858.CD002243.pub4.txt,FALSE,FALSE
10.1002+1873-3468.13647.txt,FALSE,FALSE
10.1002+1878-0261.12484.txt,FALSE,FALSE
10.1002+1878-0261.12582.txt,FALSE,FALSE
10.1002+1878-0261.12597.txt,FALSE,FALSE
10.1002+acn3.735.txt,FALSE,FALSE
10.1002+acr.23998.txt,FALSE,FALSE
10.1002+acr.24044.txt,FALSE,FALSE
10.1002+acr.24051.txt,FALSE,FALSE
10.1002+acr.24078.txt,FALSE,FALSE
10.1002+adhm.201900527.txt,FALSE,FALSE
10.1002+adtp.201900007.txt,FALSE,FALSE
10.1002+adtp.201900145.txt,FALSE,FALSE
10.1002+advs.201801780.txt,FALSE,FALSE
10.1002+ajmg.a.61419.txt,FALSE,FALSE
10.1002+ajmg.b.32713.txt,FALSE,FALSE
10.1002+ajmg.b.32730.txt,FALSE,FALSE
10.1002+ajmg.b.32770.txt,FALSE,FALSE
10.1002+ana.25460.txt,FALSE,FALSE
10.1002+ana.25462.txt,FALSE,FALSE
10.1002+ana.25479.txt,FALSE,FALSE
10.1002+ana.25551.txt,FALSE,FALSE
10.1002+ana.25552.txt,FALSE,FALSE
10.1002+ana.25567.txt,TRUE,FALSE
10.1002+ana.25582.txt,FALSE,FALSE
10.1002+ana.25658.txt,FALSE,FALSE
10.1002+anie.201900823.txt,FALSE,FALSE
10.1002+art.40786.txt,FALSE,FALSE
10.1002+art.40841.txt,FALSE,FALSE
10.1002+art.40930.txt,FALSE,FALSE
10.1002+art.40939.txt,FALSE,FALSE
10.1002+art.41004.txt,FALSE,FALSE
10.1002+bem.22194.txt,FALSE,FALSE
10.1002+bjs.11283.txt,FALSE,FALSE
10.1002+brb3.1259.txt,FALSE,FALSE
10.1002+brb3.1271.txt,FALSE,FALSE
10.1002+brb3.1343.txt,FALSE,FALSE
10.1002+cam4.2039.txt,FALSE,FALSE
10.1002+cam4.2219.txt,FALSE,FALSE
10.1002+ccd.27899.txt,FALSE,FALSE
10.1002+ccd.28531.txt,FALSE,FALSE
10.1002+clc.23254.txt,FALSE,FALSE
10.1002+cncr.31876.txt,FALSE,FALSE
10.1002+cnm.3260.txt,FALSE,FALSE
10.1002+cpmb.108.txt,FALSE,TRUE
10.1002+cpt.1637.txt,FALSE,FALSE
10.1002+dneu.22667.txt,FALSE,FALSE
10.1002+dvdy.23.txt,FALSE,FALSE
10.1002+dvdy.24.txt,FALSE,FALSE
10.1002+eat.23182.txt,FALSE,FALSE
10.1002+ehf2.12407.txt,FALSE,FALSE
10.1002+ehf2.12413.txt,FALSE,FALSE
10.1002+ehf2.12416.txt,TRUE,FALSE
10.1002+ehf2.12436.txt,FALSE,FALSE
10.1002+ehf2.12442.txt,FALSE,FALSE
10.1002+ehf2.12462.txt,FALSE,FALSE
10.1002+ehf2.12475.txt,FALSE,FALSE
10.1002+ehf2.12496.txt,FALSE,FALSE
10.1002+ehf2.12540.txt,FALSE,FALSE
10.1002+ehf2.12551.txt,FALSE,FALSE
10.1002+ehf2.12576.txt,FALSE,FALSE
10.1002+ehf2.12583.txt,FALSE,FALSE
10.1002+ejhf.1374.txt,FALSE,FALSE
10.1002+ejhf.1406.txt,FALSE,FALSE
10.1002+ejhf.1431.txt,FALSE,FALSE
10.1002+ejhf.1437.txt,FALSE,FALSE
10.1002+ejhf.1461.txt,FALSE,FALSE
10.1002+ejhf.1482.txt,FALSE,FALSE
10.1002+ejhf.1486.txt,FALSE,FALSE
10.1002+ejhf.1493.txt,FALSE,FALSE
10.1002+ejhf.1495.txt,FALSE,FALSE
10.1002+ejhf.1503.txt,FALSE,FALSE
10.1002+ejhf.1536.txt,FALSE,FALSE
10.1002+ejhf.1596.txt,FALSE,FALSE
10.1002+ejhf.1608.txt,FALSE,FALSE
10.1002+ejhf.1611.txt,FALSE,FALSE
10.1002+ejhf.1619.txt,FALSE,FALSE
10.1002+ejhf.1624.txt,FALSE,FALSE
10.1002+ejhf.1645.txt,FALSE,FALSE
10.1002+ejhf.1654.txt,FALSE,FALSE
10.1002+ejhf.1663.txt,FALSE,FALSE
10.1002+ejhf.1664.txt,FALSE,FALSE
10.1002+ejhf.1665.txt,FALSE,FALSE
10.1002+ejhf.1667.txt,FALSE,FALSE
10.1002+ejhf.1669.txt,FALSE,FALSE
10.1002+ejhf.1673.txt,FALSE,FALSE
10.1002+ejhf.1674.txt,FALSE,FALSE
10.1002+ejhf.1678.txt,FALSE,FALSE
10.1002+ejhf.1698.txt,FALSE,FALSE
10.1002+ejhf.1710.txt,FALSE,FALSE
10.1002+eji.201847955.txt,TRUE,FALSE
10.1002+eji.201848053.txt,TRUE,FALSE
10.1002+eji.201948116.txt,FALSE,FALSE
10.1002+eji.201948144.txt,FALSE,FALSE
