article,best_identifier,repository,repository_re3data,repository_type,license_fuji,license_numbat,guid_scheme_fuji,fuji_percent,fuji_percent_f,fuji_percent_a,fuji_percent_i,fuji_percent_r,fuji_percent_f1,fuji_percent_f2,fuji_percent_f3,fuji_percent_f4,fuji_percent_a1,fuji_percent_i1,fuji_percent_i2,fuji_percent_i3,fuji_percent_r1,fuji_percent_r1_1,fuji_percent_r1_2,fuji_percent_r1_3,FsF-F1-01D,FsF-F1-02D,FsF-F2-01M,FsF-F3-01M,FsF-F4-01M,FsF-A1-01M,FsF-A1-02M,FsF-A1-03D,FsF-I1-01M,FsF-I2-01M,FsF-I3-01M,FsF-R1-01MD,FsF-R1.1-01M,FsF-R1.2-01M,FsF-R1.3-01M,FsF-R1.3-02D
10.1371/journal.pone.0277831,10.17605/OSF.IO/XY9QV,Open Science Framework (OSF),Open Science Framework (OSF),general-purpose repository,no license,NULL,doi,45.83,71.43,33.33,50,30,100,50,0,100,33.33,100,0,0,25,0,50,50,100,100,50,0,100,0,100,0,100,0,0,25,0,50,100,0
10.1371/journal.pone.0265160,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200766,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.3390/cancers14235999,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE218758,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.3389/fbioe.2022.1046127,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217871,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1038/s41375-022-01751-6,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146173,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1016/j.prmcm.2022.100118,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE45114,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1038/s41467-021-27088-9,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE93326,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1038/s41467-022-28515-1,https://www.ebi.ac.uk/pride/archive/projects/PXD021265,PRoteomics IDEntifications Database,PRoteomics IDEntifications Database,field-specific repository,no license,CC0,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.1038/s41467-022-28515-1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE162403,NCBI Gene Expression Omnibus (GEO),NCBI Gene Expression Omnibus (GEO),field-specific repository,no license,NULL,url,18.75,35.71,33.33,0,10,50,25,0,50,33.33,0,0,0,0,0,0,50,100,0,25,0,50,0,100,0,0,0,0,0,0,0,100,0
10.3390/jcm11133659,10.17605/OSF.IO/85DHZ,Open Science Framework (OSF),Open Science Framework (OSF),general-purpose repository,no license,NULL,doi,45.83,71.43,33.33,50,30,100,50,0,100,33.33,100,0,0,25,0,50,50,100,100,50,0,100,0,100,0,100,0,0,25,0,50,100,0
