doi,is_open_data,open_data_category,open_data_manual_check,open_data_category_manual,open_data_statements,is_open_code,open_code_manual_check,open_code_category_manual,open_code_statements,data_access
10.1016/j.biochi.2021.02.003,TRUE,field-specific repository,NA,NA,to date only the apo structure of human scot (hscot pdb code 3dlx) has been resolved but structural details of catalysis are provided by the crystal structure of the pig scot (89% sequence identity; pdb code 3oxo; [7]) enzyme-coa thioester intermediate.;     an interactive structural map (available at https://michelanglo. sgc.ox.ac.uk/r/oxct) illustrating the key structural features of scot and the location of reported variants was generated from the published crystal structure of hscot [8] (pdb code 3dlx) using the michelanglo software [910].,FALSE,NA,NA,NA,NA
10.1016/j.cjca.2021.05.009,TRUE,"general-purpose repository, data availability statement",NA,NA,2020 apr 1 [cited 2020 may 17]; available from: https://osf.io/gehfx/ 5.;     available from: https://zenodo.org/record/4018607#.     data sharing covid-19 is also characterized by an unprecedented volume of research being quickly disseminated in the scientific literature and preprint servers with over 200000,FALSE,NA,NA,NA,NA
10.1016/j.cub.2021.04.043,TRUE,general-purpose repository,NA,NA,synthese 159 417–458.   ll  article star+methods key resources table  reagent or resource  source  identifier  raw and analyzed data  this paper  https://doi.org/10.17605/osf.io/ykm6x  custom r markdown code  this paper  https://doi.org/10.17605/osf.io/ykm6x  custom matlab code  this paper  https://doi.org/10.17605/osf.io/ykm6x  matlab  https://www.mathworks.com/  rrid: scr:001622  rstudio  https://www.rstudio.com/  rrid: scr:000432  lme4  rstudio  rrid: scr:015654  afex  rstudio  n/a  bayesfactor  rstudio  n/a  lmbf  rstudio  n/a  tapas toolbox  https://www.tnu.ethz.ch/en/software/tapas  n/a  spm toolbox  https://www.fil.ion.ucl.ac.uk/spm/ software/spm12/  rrid: scr:007037  spm anatomy toolbox  https://www.fz-juelich.de/portal/de/home/ home_node.html  rrid: scr:013273  marsbar region of interest toolbox for spm  http://marsbar.sourceforge.net/  rrid: scr:009605  deposited data  software and algorithms  resource availability lead contact further information and requests for resources should be directed to and will be fulfilled by the lead contact veith weilnhammer (veith-andreas.weilnhammer@charite.de).;     data and code availability all data and code associated with this study are available on osf: https://osf.io/ykm6x/.,TRUE,NA,NA,synthese 159 417–458.   ll  article star+methods key resources table  reagent or resource  source  identifier  raw and analyzed data  this paper  https://doi.org/10.17605/osf.io/ykm6x  custom r markdown code  this paper  https://doi.org/10.17605/osf.io/ykm6x  custom matlab code  this paper  https://doi.org/10.17605/osf.io/ykm6x  matlab  https://www.mathworks.com/  rrid: scr:001622  rstudio  https://www.rstudio.com/  rrid: scr:000432  lme4  rstudio  rrid: scr:015654  afex  rstudio  n/a  bayesfactor  rstudio  n/a  lmbf  rstudio  n/a  tapas toolbox  https://www.tnu.ethz.ch/en/software/tapas  n/a  spm toolbox  https://www.fil.ion.ucl.ac.uk/spm/ software/spm12/  rrid: scr:007037  spm anatomy toolbox  https://www.fz-juelich.de/portal/de/home/ home_node.html  rrid: scr:013273  marsbar region of interest toolbox for spm  http://marsbar.sourceforge.net/  rrid: scr:009605  deposited data  software and algorithms  resource availability lead contact further information and requests for resources should be directed to and will be fulfilled by the lead contact veith weilnhammer (veith-andreas.weilnhammer@charite.de).,NA
10.1016/j.ejca.2021.08.017,TRUE,supplement,NA,NA,all data sets (supplementary table 1,FALSE,NA,NA,NA,NA
10.1016/j.ejmg.2021.104282,TRUE,supplement,NA,NA,for each panel the list of genes included is presented in supplementary data 1.,FALSE,NA,NA,NA,NA
10.1016/j.fct.2021.112187,TRUE,supplement,NA,NA,all data can be found in table s1,FALSE,NA,NA,NA,NA
10.1016/j.ijrobp.2021.01.028,TRUE,supplement,NA,NA,table 2); however not all data,FALSE,NA,NA,NA,NA
10.1016/j.immuni.2021.09.002,TRUE,general-purpose repository,NA,NA,pr  e-  additional supplemental items are available from mendeley data at http://dx.doi.org/ 10.17632/bvd647g3mc.2.  al  any additional information required to reanalyze the data reported in this paper is available from the lead contact upon request.,FALSE,NA,NA,NA,NA
10.1016/j.jmb.2021.166964,TRUE,field-specific repository,NA,NA,accession number three-dimensional atomic coordinates of wildtype zebrafish vacuolar protein sorting 26a (vps26a) were deposited in the rcsb protein data bank with accession code 6md5.,FALSE,NA,NA,NA,NA
10.1016/j.jse.2020.12.012,TRUE,field-specific repository,NA,NA,the change in scapular upward rotation with therapy was not statistically significant or different from healthy controls.1  effects of rotator cuff tear size on scapular motion all 5 studies that addressed this topic found a correlation between the size of the rotator cuff tear and the disruption of normal scapular motion (table iii).1317182429 in the largest study included in our review kolk et al13 found that during forward flexion and during abduction the group with massive rct (n ¼ 54) had more scapular upward rotation compared to sis (n ¼ 34) and isolated ssp rct (n ¼ 21) groups (p < .01).,FALSE,NA,NA,NA,NA
10.1016/j.lfs.2021.119158,TRUE,field-specific repository,NA,NA,the array raw data are deposited under the accession number gse94916.;     the data are deposited under the accession number gse153026.,FALSE,NA,NA,NA,NA
10.1016/j.mcpro.2021.100135,TRUE,field-specific repository,NA,NA,the ms proteomics data and search results have been deposited to the proteomexchange consortium via the pride partner repository (23) with the dataset identiﬁer pxd027265.;     data availability  the mass spectrometry proteomics data and search results have been deposited to the proteomexchange consortium via the pride partner repository (23) with the dataset identiﬁer pxd027265.,FALSE,NA,NA,NA,NA
10.1016/j.nmd.2020.11.011,TRUE,data availability statement,NA,NA,data availability statement the variants reported in this paper are available at https: // databases.lovd.nl/ supplementary materials supplementary material associated with this article can be found in the online version at doi,FALSE,NA,NA,NA,NA
10.1016/j.stem.2021.03.017,TRUE,"field-specific repository, data availability statement",NA,NA,112-485-008; rrid:ab_2338316  chemicals peptides and recombinant proteins tmre  sigma  87917  murine igf1  peprotech  250-19  murine scf  stemcell technologies  78064.1 (continued on next page)  cell stem cell 28 1–10.e1–e7 august 5 2021 e1   please cite this article in press as: young et al. decline in igf1 in the bone marrow microenvironment initiates hematopoietic stem cell aging cell stem cell (2021) https://doi.org/10.1016/j.stem.2021.03.017  ll  short article  continued reagent or resource  source  identifier  murine tpo  biolegend  593302  murine il-3  stemcell technologies  78042.1  murine il-6  stemcell technologies  78052.1  4-hydroxytamoxifen (4-oht)  sigma  h7904  collagenase type iv  gibco  17104-019  dispase ii  sigma  d4693-1g  polyinosinic-polycytidylic acid  invivogen  tlrl-pic-5  tamoxifen  millipore sigma  t5648-1g  retronectin  takara  t100a  pfa  fisher scientific  bp151-100  10% goat serum  life technologies  50062z  gold antifade with dapi  invitrogen  p36935  polyvinyl alcohol  sigma  p8136  ficoll paque  fisher scientific  17-5442-02  stemspan sfem ii  stemcell technologies  09605  critical commercial assays rt2 green rox qpcr mastermix  qiagen  330520  superscript iii  thermo fisher  18080400  qiagen dneasy blood & tissue kit  qiagen  69506  murine igf1 immunoassay kit  abcam  ab100695  murine igf2 picokine kit  boster biological technology  ek0381  methocult gf m3434  stemcell technologies  03434  annexin v apoptosis detection kit  biolegend  640922  rna-seq data (figure 1)  this paper  geo: gse151333  rna-seq data (figure 2)  this paper  geo: gse144933  rna-seq data (figure 4)  this paper  geo: gse144934  atac-seq data  this paper  geo: gse164609  deposited data  experimental models: organisms/strains c57bl/6  the jackson laboratory  rrid:imsr_jax:000664  b6.;     data and code availability raw and processed rna-seq data and atac-seq data are publicly available in the gene expression omnibus (geo: gse144933 geo: gse144934 geo: gse151333 and geo: gse164609).      deposited data  experimental models: organisms/strains c57bl/6  the jackson laboratory  rrid:imsr_jax:000664,FALSE,NA,NA,NA,NA
10.1016/j.yebeh.2020.107726,TRUE,data availability statement,NA,NA,data accessibility the original data can be retrieved from the corresponding author. appendix a. supplementary data supplementary data to this article can be found online at https://doi,FALSE,NA,NA,NA,NA
10.1021/acs.analchem.0c04779,TRUE,supplement,NA,NA,raw data of screening clinical samples in african settings (table s1,FALSE,NA,NA,NA,NA
10.1021/acs.jcim.1c00451,TRUE,general-purpose repository,NA,NA,2021 61 3255−3272   journal of chemical information and modeling  pubs.acs.org/jcim  article  including feature selection with lasso) are freely available for download (https://doi.org/10.5281/zenodo.4761225).84  models.,FALSE,NA,NA,NA,NA
10.1021/acs.jproteome.1c00429,TRUE,"field-specific repository, supplement",NA,NA,raw ﬁles processed data and spectral libraries are available via the public ms data repository massive with the identiﬁer msv000084733.     table s9) overview of dia scan windows (xlsx,FALSE,NA,NA,NA,NA
10.1021/acs.jproteome.1c00608,TRUE,"field-specific repository, supplement",NA,NA,2021 20 5064−5078   journal of proteome research  pubs.acs.org/jpr  nonredundant database including the w. aegyptia venom gland transcriptomic data deposited with the sra and tsa databases of ncbi (bioproject accession number prja506018) publicly available in the massive repository under the accession number msv000081885 (ftp://massive.ucsd.edu/msv000081885/) and proteomexchange with the accession number pxd008597.;     cspeak = csstandard·(areaspeak /area sstandard)  information table s1) deposited in ncbi sra and tsa databases associated with bioproject prja506018.;     lc−ms/ ms.raw and centroid.mzxml data are publicly available in the massive repository under the accession number msv000081885 (ftp://massive.ucsd.edu/msv000081885) and proteomexchange (accession number pxd008597).73  (1)  absolute protein quantiﬁcation by icp-ms requires maintaining the elemental response factor constant along the complete chromatographic analysis.;     the bottom-up mass spectrometry proteomics data have been deposited to the proteomexchange consortium via the pride86 partner repository with the dataset identiﬁers pxd027495 (venomics of the desert black cobra w. aegyptia from sinai peninsula egypt) pxd027498 (venomics of the desert black cobra w. aegyptia from riyadh saudi arabia) and pxd027497 (venomics of the desert black cobra w. morgani from ç örten village turkey).;     top-down lc−ms/ms.raw and centroid.mzxml data are publicly available in the massive repository under the accession number msv000086709.     table s8) (xlsx,FALSE,NA,NA,NA,NA
10.1021/acschembio.1c00168,TRUE,field-specific repository,NA,NA,mall − molecular medicine partnership unit (mmpu) european molecular biology laboratory (embl) and university of heidelberg 69117 heidelberg germany; translational lung research center heidelberg (tlrc) german center for lung research (dzl) 69120 heidelberg germany; department of pediatric pulmonology immunology and critical care medicine charité universitätsmedizin berlin 13353 berlin germany; berlin institute of health 10178 berlin germany; german center for lung research (dzl) 13353 berlin germany complete contact information is available at: https://pubs.acs.org/10.1021/acschembio.1c00168 author contributions ○  m.a.m. and c.s. equal contribution as senior authors.,FALSE,NA,NA,NA,NA
10.1038/s41431-021-00859-0,TRUE,data availability statement,NA,NA,data sharing and collaborative analysis to solve rare diseases solve-rd consortium olaf riess111,FALSE,NA,NA,NA,NA
10.1038/s41436-020-01091-9,TRUE,field-specific repository,NA,NA,in silico predictions for interpretation of the variants reported in this study were performed using an integrated genetic database for coding variants.16 pathogenicity of missense variants was ascribed based on the american college of medical genetics and genomics (acmg) variant interpretation guidelines.17 to assess changes in protein conformation protein 3d structures of two different cdk19 missense variants p.gly28arg and p.tyr32his were obtained using the have our protein explained (hope) project analysis program based on the structure of the homologous human pdb 5xs2.18 predictions of protein stability were obtained by using i-mutant2.0 based on the structure homologous to the human pdb 5hbe under stable conditions (temperature = 25 ˚c and ph = 7).19  preparation of recombinant cdk19 kinase modules for substrate phosphorylation assays the complementary dna (cdna) encoding each human cdk19 cyclin c med12 or med13 was ampliﬁed by reverse transcription polymerase chain reaction (rt-pcr) from a hela cdna library and cloned into a modiﬁed pfastbac vector (thermofisher).,FALSE,NA,NA,NA,NA
10.1038/s41467-021-21297-y,TRUE,"field-specific repository, data availability statement",NA,NA,raw sequencing data are available at the european genome-phenome archive under the accession code egad00001004385.;     raw sequencing data can be accessed at the ega database under the accession code egad00001004385.;     raw sequencing data can be accessed at the ega database under the accession code egad00001004069.;     the respective sequencing data are provided at the ega database under the accession code egad00001006428.;     nature communications | (2021)12:1119 | https://doi.org/10.1038/s41467-021-21297-y | www.nature.com/naturecommunications  15   article  nature communications | https://doi.org/10.1038/s41467-021-21297-y  data availability raw sequencing data that support the ﬁndings of this study have been deposited in european genome-phenome archive under the accession codes egad00001004385 egad00001004069 egad00001006428 and are available on application to the linked data access committee upon request to dr.      data availability raw sequencing data that support the ﬁndings of this study have been deposited in european genome-phenome archive under the accession codes egad00001004385,TRUE,NA,NA,these modiﬁcations have been made publicly available in tracer through the option “--small_index” (see https:// github.com/teichlab/tracer).,NA
