"referenceid";"username";"doi";"article";"is_open_data";"open_data_category";"is_reuse";"is_open_code";"open_data_statements";"open_code_statements";"reference_to_data";"comment_1_reference";"data_availability_statement";"comment_2_das";"findability";"comment_4_findability";"not_a_supplement";"comment_3_repository";"data_identifier";"repository";"data_access";"comment_5_data_access";"year_of_data_publication";"dataset_license";"comment_4_license";"license_name";"own_or_reuse_data";"comment_2_own_data";"machine_readable_format";"comment_6_machine_readability";"multi_select_excel";"multi_select_csv_tsv";"multi_select_txt_docs";"multi_select_other_text_formats";"multi_select_video";"multi_select_audio";"multi_select_picture";"multi_select_fasta_fastq";"multi_select_raw";"multi_select_genetic_sequences";"multi_select_subject_specific_format";"multi_select_unsure";"comment_7_format";"illustrative_files";"comment_8_illustrative_files";"analytical_replication";"comment_9_analytical_replication";"open_data_assessment";"comment_10_assessment";"other_comments";"comment_other_datasets";"open_data_manual_check";"restricted"
138;"hich10";"10.1371/journal.pone.0273699";"10.1371+journal.pone.0273699.txt";"TRUE";"general-purpose repository";"FALSE";"TRUE";"<section> data availability statement: data and codes will be available through nsbspl github.";"<section> data availability statement: data and codes will be available through nsbspl github.";"yes";"NULL";"yes";"NULL";"no";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"The datasets cannot be accessed. The data availability statement states that the datsets are shared in NSBSPL Github. No link to the dataset.";"NULL";"NULL";"false";"false"
99;"hich10";"10.1111/bph.15811";"10.1111+bph.15811.txt";"TRUE";"supplement";"FALSE";"FALSE";"each section below provides definitions terminology and recommendations for experiments and reporting (summarized in data s1 s2 and s3).";"";"n_a";"Given article is a 'Review'";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"";"NULL";"false";"false"
129;"Evgeny";"10.1371/journal.pbio.3001680";"10.1371+journal.pbio.3001680.txt";"TRUE";"general-purpose repository";"FALSE";"FALSE";"2020; available from: https://blog.datadryad.org/2020/10/14/call-for-nominations-dryad-scientific-advisorycommittee/.";"";"n_a";"false positive; no dataset in Dryad, rather a blog on their website; no data were generated for this article";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no data generated";"NULL";"false";"false"
128;"Evgeny";"10.1371/journal.pbio.3001503";"10.1371+journal.pbio.3001503.txt";"TRUE";"general-purpose repository";"FALSE";"TRUE";"<section> data availability statement: image analysis was performed with custom written fiji/imagej scripts available at github: https://github.com/ngimber/ radialprofile3d and https://github.com/ bettinaschmerl/mpp2.custom python scripts are available on github: https://github.com/ngimber/ nearestneighborworkflow_synapses and https://github.com/ngimber/converter_thunderstorm_ sdmixer. all other relevant data are within the paper and its supporting information files.\\"" <section> abstract <section> recent advances in imaging technology have highlighted that scaffold proteins and receptors are arranged in subsynaptic nanodomains. the synaptic membrane-associated guanylate kinase (maguk) scaffold protein membrane protein palmitoylated 2 (mpp2) is a component of ?-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid (ampa) receptor– associated protein complexes and also binds to the synaptic cell adhesion molecule syncam 1.using superresolution imaging we show that—like syncam 1—mpp2 is situated at the periphery of the postsynaptic density (psd). in order to explore mpp2-associated protein complexes we used a quantitative comparative proteomics approach and identified multiple ?-aminobutyric acid (gaba) a receptor subunits among novel synaptic mpp2 interactors. in line with a scaffold function for mpp2 in the assembly and/or modulation of intact gaba a receptors manipulating mpp2 expression had effects on inhibitory synaptic transmission. we further show that gaba a receptors are found together with mpp2 in a subset of dendritic spines and thus highlight mpp2 as a scaffold that serves as an adaptor molecule linking peripheral synaptic elements critical for inhibitory regulation to central structures at the psd of glutamatergic synapses. <section> introduction <section> at postsynaptic sites on glutamatergic neurons a complex arrangement of transmembrane receptors scaffold molecules and regulatory proteins enables the coordinated regulation of synaptic transmission (for reviews see [1–3]). recent advances in imaging technology have";"<section> data availability statement: image analysis was performed with custom written fiji/imagej scripts available at github: https://github.com/ngimber/ radialprofile3d and https://github.com/ bettinaschmerl/mpp2.custom python scripts are available on github: https://github.com/ngimber/ nearestneighborworkflow_synapses and https://github.com/ngimber/converter_thunderstorm_ sdmixer.";"yes";"as long as we consider ""All other relevant data are within the paper and its Supporting Information files."" sufficient as a clear reference";"yes";"";"yes";"NULL";"no";"";"";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"supplement contains source data, but these do not seem to be in a repository; if they should be in figshare, they would in any case not be persistently accessible there, as the DOI is only a version of the article DOI";"NULL";"NULL";"false";"false"
126;"Evgeny";"10.1186/s40168-022-01249-4";"10.1186+s40168-022-01249-4.txt";"TRUE";"general-purpose repository";"FALSE";"TRUE";"<section> availability of data and materials sequence files and metadata for the 16srrna seq analyses for all samples used in this study have been deposited in figshare (https://figshare.com/s/ 42295e6a08511c63a870). this link includes the r script to reproduce the statis? tical analyses and generation of figs. 1 and 6 and supplementary figure";"this link includes the r script to reproduce the statis? tical analyses and generation of figs.";"yes";"NULL";"yes";"NULL";"no";"private link https://figshare.com/s/42295e6a08511c63a870";"NULL";"";"";"figshare";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"a private link intended for sharing with reviewers was shared; it would be possible to contact the authots and ask them to correct this, but first and last author seem to have left Charité in the meanwhile";"NULL";"NULL";"false";"false"
122;"Evgeny";"10.1186/s13071-021-05119-0";"10.1186+s13071-021-05119-0.txt";"TRUE";"general-purpose repository";"FALSE";"TRUE";"<section> availability of data and materials all data generated and code used for the analysis during this study are pub? licly available in https://github.com/derele/eimeria_quant and its additional files.";"<section> availability of data and materials all data generated and code used for the analysis during this study are pub? licly available in https://github.com/derele/eimeria_quant and its additional files.";"yes";"NULL";"yes";"NULL";"yes";"NULL";"yes";"NULL";"https://github.com/derele/Eimeria_Quant";"GitHub";"not_persistent";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"according to our new criteria of persistence, data in Github are not in line with open data criteria; in any case, the are not well findable as a dataset";"NULL";"NULL";"false";"false"
141;"Evgeny";"10.2196/35724";"10.2196+35724.txt";"TRUE";"general-purpose repository";"FALSE";"TRUE";"all data and analyses scripts are provided in a github repository [21].";"all data and analyses scripts are provided in a github repository [21].;     details on the exclusion reasons for the full-text evaluation can be found in multimedia appendix 2 and the exclusion reasons for the abstract evaluation can be found in the github repository [21].";"yes";"NULL";"no_statement_no_data";"""Data Extraction and Analysis"" section of the methods";"yes";"NULL";"yes";"NULL";"https://github.com/BIH-CEI/FHIR-Research-Review";"GitHub";"not_persistent";"Github not persistent";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"according to current criteria, deposit in Guthub is not in line with the definition of open data anymore; apart from persistency, it would also not be well fidnable, there is no license, and it is debatable, whether for this systematic review, it is raw data, but I would have said, yes";"NULL";"NULL";"false";"false"
108;"Evgeny";"10.1167/jov.22.11.16";"10.1167+jov.22.11.16.txt";"TRUE";"general-purpose repository";"FALSE";"TRUE";"the analysis scripts as well as the related data are available at https://github.com/joramsoch/ rdk_vmmm.";"the analysis scripts as well as the related data are available at https://github.com/joramsoch/ rdk_vmmm.";"yes";"NULL";"no_statement_no_data";"NULL";"yes";"NULL";"yes";"NULL";"https://github.com/JoramSoch/RDK_vMMM/tree/master";"GitHub";"not_persistent";"Github not persistent and thus not considered in line with criteria anymore";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"not persistent";"NULL";"NULL";"false";"false"
159;"Evgeny";"10.3390/ijms23042398";"10.3390+ijms23042398.txt";"TRUE";"general-purpose repository";"FALSE";"FALSE";"<section> data availability statement: primary western blot data are included in the manuscript. all other primary data are available upon science-based request via figshare.";"";"no";"there is the reference ""primary data are available upon science-based request via figshare""; this is not described further and there is no explanation of how to find the metadata or apply for access, to in my opinion this is not a clear reference to available datasets";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"NULL";"NULL";"NULL";"false";"false"
158;"Evgeny";"10.3390/healthcare10050854";"10.3390+healthcare10050854.txt";"TRUE";"general-purpose repository";"FALSE";"FALSE";"available online: https://doi.org/10.17605/osf.io/sakt4 (accessed on 6 april 2022).";"";"no";"the detection is a false positive, the deposit in OSF relates to a study preregistration";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"for a scoping review, it is debatable whether data can be generated, but I would say yes; otherwiese it would have been classified as ""article type not applicable""";"NULL";"NULL";"false";"false"
