"doi";"year";"is_open_data";"open_data_category";"is_open_code";"open_data_statements";"open_code_statements";"open_data_manual_check";"open_data_category_manual";"open_code_manual_check";"open_code_category_manual"
"10.1097/hc9.0000000000000208";"2023";TRUE;"field-specific repository";FALSE;"<section> the single-cell rna sequencing data for this project were deposited on the european bioinformatics insititute (ebi) database under accession number e-mtab11727 (https://www.ebi.ac.uk/arrayexpress/experiments/;     raw data from the rna microarray were deposited on geo under accession number gse201467 (https://www.ncbi.nlm.nih.gov/ geo/query/acc.cgi?";NA;NA;NA;NA;NA
"10.1016/j.celrep.2023.112533";"2023";TRUE;"field-specific repository, re-use, upon request";FALSE;"<section> the datasets that support the findings of this study have been deposited in the gene expression omnibus (geo) under the accession codes gse138329 and gse156024.      gene set databases downloaded from the broad institute website or custom-derived signatures were analyzed using default settings with 2000 permutations.;     next the gateway lr clonase ii enzyme mix (invitrogen) was used to transfer the zeb1 cdna from the pentr1a-zeb1 vector into the pb-tac-erp2 (#80478 addgene) to generate the pb-zeb1 vector.";NA;NA;NA;NA;NA
"10.1016/j.isci.2023.106969";"2023";TRUE;"github, general-purpose repository, upon request";TRUE;"<section> 90 raw data and code are also available from zenodo: 10.5281/zenodo.7763242. <section> data and code availability all data and r code to replicate the analyses and construct the raw graphics are publicly available on github (https://github.com/jessicabellworthy/bellworthy_planulae_exsitu_translocation).";"<section> data and code availability all data and r code to replicate the analyses and construct the raw graphics are publicly available on github (https://github.com/jessicabellworthy/bellworthy_planulae_exsitu_translocation).;     <section> 90 raw data and code are also available from zenodo: 10.5281/zenodo.7763242.";NA;NA;TRUE;"github"
"10.1152/ajplung.00296.2022";"2023";TRUE;"field-specific repository, upon request";TRUE;"raw data of microbiome analysis are available at the european nucleotide archive (prjeb52219).;     <section> raw data of microbiome analysis have been deposited at european nucleotide archive (https://www.ebi.ac.uk/ena/browser/";"networks are based on spearman correlation (p < 0.01 were included) and visualized via cytoscape (v3.2.7) (27). <section> proteomics analysis lung function data stereology total analysis of regulated proteome expression and working code for microbiome analysis: supplemental tables s1–s3 supplemental figs.";NA;NA;TRUE;"other repository/website"
"10.1016/j.ajhg.2023.02.004";"2023";TRUE;"upon request, field-specific repository";FALSE;"both snvs were previously listed in the gnomad database as rs871774 (chrx: 114880423-c-t [grch37/hg19]; genbank: nm_005032.";NA;NA;NA;NA;NA
"10.1093/neuonc/noad030";"2023";TRUE;"field-specific repository";FALSE;"<section> dna methylation array data are available from the gene expression omnibus (geo) repository under accession number gse224218 (https://www.ncbi.nlm.nih.gov/geo/).";NA;NA;NA;NA;NA
"10.1038/s41598-023-37835-1";"2023";TRUE;"field-specific repository";TRUE;"<section> all data including imaging and non-imaging data is publicly available from the mimic ­database 2134 on physionet (for mimic-iv see https:// p hysi o net. o rg/ c onte n t/ m imic i v/1.";"the code to extract the chest radiographs and corresponding clinical parameters can be found in the github repository linked in the code availability section.;     <section> the entire code is publicly available on github via https://​github.​com/​firas​git/ m etra.";NA;NA;TRUE;"github"
"10.1158/2643-3230.bcd-22-0007";"2023";TRUE;"field-specific repository";FALSE;"<section> transcriptome exome and bcr sequencing data generated in this study are publicly available at the sequence read archive (sra) under the bioproject id prjna876929";NA;NA;NA;NA;NA
"10.1016/j.atherosclerosis.2023.01.022";"2023";TRUE;"field-specific repository, github";TRUE;"for data reproducibility we used the nf-gwas nextflow pipeline that first performs data preparation steps (valida­ tion of files file format conversion pruning and quality control of ge­ netic data) then runs the gwas using regenie and finally creates an overview of the gwas results (summary statistics and plots and anno­ tation with the nearest gene of the most significant variants) (version v0.1.14; available at: https://github.com/genepi/nf-gwas).  for data reproducibility we used the nf-gwas nextflow pipeline that first performs data preparation steps (valida­ tion of files file format conversion pruning and quality control of ge­ netic data) then runs the gwas using regenie and finally creates an overview of the gwas results (summary statistics and plots and anno­ tation with the nearest gene of the most significant variants) (version v0.1.14; available at: https://github.com/genepi/nf-gwas).";"for data reproducibility we used the nf-gwas nextflow pipeline that first performs data preparation steps (valida­ tion of files file format conversion pruning and quality control of ge­ netic data) then runs the gwas using regenie and finally creates an overview of the gwas results (summary statistics and plots and anno­ tation with the nearest gene of the most significant variants) (version v0.1.14; available at: https://github.com/genepi/nf-gwas).;     <section> regional plots were generated with localzoom (version v0.14.0beta.2; available at: https://statgen.github.io/localzoom/) with link­ age disequilibrium (ld) information from the european population from the 1000 genomes project based on human genome build grch37 [33].";NA;NA;FALSE;NA
"10.1093/neuonc/noad078";"2023";TRUE;"field-specific repository, supplement, upon request";FALSE;"<section> sequence data has been deposited at the european genomephenome archive (ega) which is hosted by the ebi and the crg and can be accessed with [egas00001007072].;     methylation data has been made available at the gene expression omnibus (geo) and can be accessed with [gse228100].   <section> = 1] eml4::alk [n = 1] mybl1::rp11-89a16 [n = 1] gopc::ros1 [n = 1] raf1 fusions [n = 3] myb fusions [n = 2] and other braf fusions [n = 4]; figure 3 and supplementary data s2).;     detailed description of “fgfr alterations” and “other fusions” with exact locations of the fusions in supplementary data s2.";NA;NA;NA;NA;NA
"10.1021/acs.jpcb.3c06662";"2023";TRUE;"field-specific repository";FALSE;"<section> accession codes openmm is available from https://openmm.org.";NA;NA;NA;NA;NA
"10.1186/s10194-023-01547-8";"2023";TRUE;"field-specific repository";FALSE;"<insert> international headache genet‑ ics consortium: 54552 cases and 297970 controls international headache consortium: 23285 cases and 95425 controls international headache genet‑ ics consortium: 59674 cases and 316078 controls gwas 1 (hautakangas et al.): 48975 uk biobank cases and 540381 controls 417580 participants gwas 2 (choquet et al.): 28852 cases and 525717 controls gwas 3 (finngen): 10536 cases and 208845 controls nineteen lipoprotein subfractions serum calcium twelve blood-based measures of hemostasis vitamine d levels charge consortium hemostasis working group: n = 2583 to n = 120246 39400 participants 47713 participants from 6263 to 24925 international headache genetics consortium: 59674 migraine cases and 316078 controls seventy-nine metabolic traits chemistry test values and data on medically relevant disorders from 23986 to 452264 participants 17054 cases (all stages of endome‑ triosis) and 191858 controls 1121 cases and 360073 controls comorbidity/trait 29209 cases and 172931 controls international headache genetics consortium: 59674 migraine cases and 316078 controls uk biobank: 1072 cases and 360122 controls number migraine of patients included clinical chemistry tests (hdl-c ldlc tg iron diseases of liver) laboratory parameters gynecological endometriosis conditions irritable bowel syndrome gastroenterological conditions comorbidity/trait table 4 (continued) bidirectional bidirectional one-directional bidirectional bidirectional one-directional one-directional one-directional direction of causality examined tanha et al. [162] tanha et al. [161] adewuyi et al. [147] chen et al. [160] reference genetically determined increase in niu et al. [165] circulating vitamin d levels associ‑ ated with a decreased migraine risk migraine not associated with vitamin d levels increased fviii vwf and phosphoryl‑ guo et al. [150] ated fibrinopeptide a and decreased fibrinogen associ‑ ated with increased migraine risk (especially ma) migraine liability not associated with measures of hemostasis yin et al. [164] genetically predicted increase in serum calcium levels associated with increased migraine liability lipoprotein subfractions not causally guo et al. [163] related with migraine genetically predicted shorter length of fatty acids and higher level of a lysophosphatidylethanolamine lpe(20:4) associated with increased migraine risk no causal associations no causal association genetically determined irritable bowel syndrome associated with increased migraine risk main finding(s)";NA;NA;NA;NA;NA
