"title";"doi";"url";"research_org_names";"research_orgs";"year";"journal_title"
"Ageing, TOR and amino acid restriction: a cross-tissue transcriptional network connects GATA factors to Drosophila longevity";"10.1101/036848";"10.1101/036848";"University College; London; UK; University College; London; UK; Berlin Institute of Health, Germany;; University College; London; UK; University College; London; UK; Sichuan Agricultural University, China;; University College; London; UK";"University College London; University College London; Berlin Institute of Health at Charité - Universitätsmedizin Berlin; University College London; University College London; Sichuan Agricultural University; University College London";"2016";"bioRxiv (Cold Spring Harbor Laboratory)"
"Healthy and disturbed sleep: from the laboratory to actigraphy";"10.7287/peerj.preprints.1837v1";"10.7287/peerj.preprints.1837v1";"Center of Sleep Medicine Charité – Universitätsmedizin Berlin Berlin Germany; Center of Sleep Medicine Charité – Universitätsmedizin Berlin Berlin Germany";"Charité - Universitätsmedizin Berlin; Charité - Universitätsmedizin Berlin";"2016";"PeerJ Preprints"
"Notions of similarity for computational biology models";"10.1101/044818";"10.1101/044818";"University of  Rostock; Heidelberg Institute for Theoretical Studies,; KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY; University Medicine and Ernst-Moritz-Arndt University Greifswald;; University Jena;; Charité – Universitaetsmedizin Berlin";"University of Rostock; Heidelberg Institute for Theoretical Studies; King Abdullah University of Science and Technology; University of Greifswald; Jena University Hospital; Charité - Universitätsmedizin Berlin";"2016";"bioRxiv (Cold Spring Harbor Laboratory)"
"Genome-wide association study of 40,000 individuals identifies two novel loci associated with bipolar disorder";"10.1101/044412";"10.1101/044412";"Intramural Research Program, National Institute of Mental Health, National Institutes of Health, U.S. Department of Health & Human Services, Bethesda, MD, United States; Stanley Center for Psychiatric Research, The Broad Institute of MIT and Harvard, Cambridge, MA, United States; Department of Medical Epidemiology and Biostatistics, Karolinska Institutet, Stockholm, Sweden; Intramural Research Program, National Institute of Mental Health, National Institutes of Health, U.S. Department of Health & Human Services, Bethesda, MD, United States; Department of Medical Epidemiology and Biostatistics, Karolinska Institutet, Stockholm, Sweden; Department of Medical Epidemiology and Biostatistics, Karolinska Institutet, Stockholm, Sweden; Department of Medical Epidemiology and Biostatistics, Karolinska Institutet, Stockholm, Sweden; Institute of Neuroscience and Physiology, The Sahlgrenska Academy at Gothenburg University, Gothenburg, Sweden; Department of Psychiatry and Psychotherapy, Charité - Universitätsmedizin Berlin, Campus Charité Mitte, Berlin, Germany; Department of Psychiatry, Dalhousie University, Halifax, Canada; Unit of Clinical Pharmacology, Hospital University Agency of Cagliari, Cagliari, Italy; Department of Biologia Animal, Unitat d'Antropologia (Dp. Biología Animal), Facultat de Biologia and Institut de Biomedicina (IBUB), Universitat de Barcelona, CIBERSAM, Barcelona, Spain; Department of Mental Health and Psychiatry, Mood Disorders Unit, Geneva University Hospitals, Geneva, Switzerland; Department of Molecular Medicine and Surgery, Karolinska Institutet and Center for Molecular Medicine, Karolinska University Hospital, Stockholm, Sweden; Department of Psychiatry and Behavioral Neuroscience, University of Chicago, Chicago, IL, United States; Portland Veterans Affairs Medical Center, Portland, OR, United States; Department of Psychiatry and Psychotherapy, University Hospital Carl Gustav Carus, Technische Universität, Dresden, Germany; Discipline of Psychiatry, University of Adelaide, Adelaide, Australia; INSERM UMR-S 1144 - Université Paris Diderot. Pôle de Psychiatrie, AP-HP, Groupe Hospitalier Lariboisière-F. Widal, Paris, France; Bipolar Disorder Program, Institute of Neuroscience, Hospital Clinic, University of Barcelona, IDIBAPS, CIBERSAM, Barcelona, Catalonia, Spain; Special outpatient center for bipolar affective disorder, Medical University of Graz, Graz, Austria; Department of Psychiatry, University of Pennsylvania, Philadelphia, PA, United States; Department of Psychiatry, University of California San Diego, San Diego, CA, United States; Department of Psychiatry and Psychology, Mayo Clinic, Rochester, MN, United States; Department of Health Sciences Research, Mayo Clinic, Rochester, MN, United States; Special outpatient center for bipolar affective disorder, Medical University of Graz, Graz, Austria; Scripps Translational Science Institute, La Jolla, CA, United States; INSERM UMR-S 1144 - Université Paris Diderot. Pôle de Psychiatrie, AP-HP, Groupe Hospitalier Lariboisière-F. Widal, Paris, France; Intramural Research Program, National Institute of Mental Health, National Institutes of Health, U.S. Department of Health & Human Services, Bethesda, MD, United States; Department of Psychiatry, University of California at San Francisco, San Francisco, CA, United States; McGill University Health Centre, Mood Disorders Program, Montreal, QC, Canada; Unit of Clinical Pharmacology, Hospital University Agency of Cagliari, Cagliari, Italy; Division of Medical Genetics and Department of Biomedicine, University of Basel, Switzerland; Institute of Neuroscience and Medicine (INM-1), Research Centre Jülich, Germany; Department of Genomics, Life & Brain Center, University of Bonn, Bonn, Germany; Institute of Human Genetics, University of Bonn, Germany; Bipolar Disorder Program, Institute of Neuroscience, Hospital Clinic, University of Barcelona, IDIBAPS, CIBERSAM, Barcelona, Catalonia, Spain; University of Iowa Hospitals and Clinics, Iowa City, IA, United States; The Translational Genomics Research Institute, Phoenix, AZ, United States; Douglas Mental Health University Institute, McGill University, Montreal, Canada; Psychiatric Genetic Unit, Poznan University of Medical Sciences, Poznan, Poland; Discipline of Psychiatry, University of Adelaide, Adelaide, Australia; Department of Mental Health and Psychiatry, Mood Disorders Unit, Geneva University Hospitals, Geneva, Switzerland; Department of Genomics, Life & Brain Center, University of Bonn, Bonn, Germany; Institute of Human Genetics, University of Bonn, Germany; Department of Biomedical Sciences, University of Cagliari, Cagliari, Italy; Department of Psychiatry and Behavioral Sciences, Johns Hopkins School of Medicine, Baltimore, MD, United States; Department of Biochemistry and Molecular Biology, Indiana University School of Medicine, Indianapolis, IN, United States; INSERM U955, Psychiatrie translationnelle, Université Paris Est Créteil, Pôle de Psychiatrie et d'Addictologie, Hôpitaux Universitaires Henri Mondor, Créteil, France; Department of Psychiatry and Psychotherapy, Ludwig-Maximilians-University Munich, Munich, Germany; Department of Medical and Molecular Genetics, Indiana University School of Medicine, Indianapolis, IN, United States; Department of Genomics, Life & Brain Center, University of Bonn, Bonn, Germany; Institute of Human Genetics, University of Bonn, Germany; Department of Clinical Neuroscience, Karolinska Institutet, Stockholm, Sweden; Child and Adolescent Psychiatry Research Center, Stockholm, Sweden; Department of Psychiatry and Psychology, Mayo Clinic, Rochester, MN, United States; Psychiatric Genetics, Neuroscience Research Australia, Sydney, Australia; School of Medical Sciences, University of New South Wales, Sydney, NSW, 2052, Australia; Service de psychiatrie, Hôpital Charles Perrens, Bordeaux, France; Department of Psychiatry, Dalhousie University, Halifax, Canada; Department of Psychiatry and Behavioral Neuroscience, University of Chicago, Chicago, IL, United States; Department of Psychiatry and Behavioral Sciences, Johns Hopkins School of Medicine, Baltimore, MD, United States; Department of Psychiatry, University of California San Diego, San Diego, CA, United States; Biometric Psychiatric Genetics Research Unit, Alexandru Obregia Clinical Psychiatric Hospital, Bucharest, Romania; Psychiatric Genetic Unit, Poznan University of Medical Sciences, Poznan, Poland; Department of Psychiatry and Psychotherapy, University Medical Center (UMG), Georg-August University Göttingen, Göttingen, Germany; Institute of Psychiatric Phenomics and Genomics, Ludwig-Maximilians-University Munich, Munich, Germany; Department of Genomics, Life & Brain Center, University of Bonn, Bonn, Germany; Institute of Human Genetics, University of Bonn, Germany; Division of Medical Genetics and Department of Biomedicine, University of Basel, Switzerland; Department of Genomics, Life & Brain Center, University of Bonn, Bonn, Germany; Institute of Human Genetics, University of Bonn, Germany; Department of Psychiatry and Behavioral Sciences, Howard University Hospital, Washington, DC, United States; Discipline of Psychiatry, University of Adelaide, Adelaide, Australia; Division of Medical Genetics and Department of Biomedicine, University of Basel, Switzerland; Institute of Neuroscience and Medicine (INM-1), Research Centre Jülich, Germany; Department of Genomics, Life & Brain Center, University of Bonn, Bonn, Germany; Institute of Human Genetics, University of Bonn, Germany; Department of Genomics, Life & Brain Center, University of Bonn, Bonn, Germany; Institute of Human Genetics, University of Bonn, Germany; INSERM U955, Psychiatrie translationnelle, Université Paris Est Créteil, Pôle de Psychiatrie et d'Addictologie, Hôpitaux Universitaires Henri Mondor, Créteil, France; Bipolar Disorder Program, Institute of Neuroscience, Hospital Clinic, University of Barcelona, IDIBAPS, CIBERSAM, Barcelona, Catalonia, Spain; Service de Psychiatrie et Psychologie Clinique, Centre Psychothérapique de Nancy -Université de Lorraine, Nancy, France; Intramural Research Program, National Institute of Mental Health, National Institutes of Health, U.S. Department of Health & Human Services, Bethesda, MD, United States; Department of Psychiatry, University of California San Diego, San Diego, CA, United States; Department of Psychiatry, Psychosomatic Medicine and Psychotherapy, University Hospital Frankfurt, Frankfurt, Germany; Department of Adult Psychiatry, Poznan University of Medical Sciences, Poznan, Poland; Department of Medical and Molecular Genetics, Indiana University School of Medicine, Indianapolis, IN, United States; Department of Psychiatry and Psychotherapeuthic Medicine, Landesklinikum Neunkirchen, Neunkirchen, Austria; Special outpatient center for bipolar affective disorder, Medical University of Graz, Graz, Austria; Intramural Research Program, National Institute of Mental Health, National Institutes of Health, U.S. Department of Health & Human Services, Bethesda, MD, United States; Department of Genetic Epidemiology in Psychiatry, Central Institute of Mental Health, Medical Faculty Mannheim, University of Heidelberg, Mannheim, Germany; Department of Molecular Medicine and Surgery, Karolinska Institutet and Center for Molecular Medicine, Karolinska University Hospital, Stockholm, Sweden; Department of Psychiatry and Behavioral Sciences, Howard University Hospital, Washington, DC, United States; INSERM U955, Psychiatrie translationnelle, Université Paris Est Créteil, Pôle de Psychiatrie et d'Addictologie, Hôpitaux Universitaires Henri Mondor, Créteil, France; Department of Pharmacy, VA San Diego Healthcare System, San Diego, CA, United States; Department of Psychiatry, University of Illinois at Chicago, Chicago, IL, United States; Department of Genomics, Life & Brain Center, University of Bonn, Bonn, Germany; Institute of Human Genetics, University of Bonn, Germany; Department of Psychiatry and Behavioral Sciences, Johns Hopkins School of Medicine, Baltimore, MD, United States; Department of Psychiatry, University of Bonn, Germany; Department of Psychiatry, University of Naples SUN, Naples, Italy; Department of Pharmacology, Dalhousie University, Halifax, NS, Canada; Department of Biomedical Sciences, University of Cagliari, Cagliari, Italy; Department of Clinical Neuroscience, Karolinska Institutet, Stockholm, Sweden; Department of Psychiatry, VA San Diego Healthcare System, San Diego, CA, United States; Lindner Center of HOPE, University of Cincinnati College of Medicine, Mason, OH, United States; Department of Psychiatry, University of Michigan, Ann Arbor, MI, United States; Department of Psychiatry, University of California San Diego, San Diego, CA, United States; School of Psychiatry, University of New South Wales, and Black Dog Institute, Sydney, Australia; Department of Biologia Animal, Unitat d'Antropologia (Dp. Biología Animal), Facultat de Biologia and Institut de Biomedicina (IBUB), Universitat de Barcelona, CIBERSAM, Barcelona, Spain; Department of Psychiatry and Behavioral Sciences, Johns Hopkins School of Medicine, Baltimore, MD, United States; Neurosciences Section, Department of Medicine and Surgery, University of Salerno, Salerno, Italy; Department of Psychiatry, University of Naples SUN, Naples, Italy; Institute of Neuroscience and Medicine (INM-1), Research Centre Jülich, Germany; Department of Genomics, Life & Brain Center, University of Bonn, Bonn, Germany; Institute of Human Genetics, University of Bonn, Germany; Department of Psychiatry, University of California San Diego, San Diego, CA, United States; Department of Genomics, Life & Brain Center, University of Bonn, Bonn, Germany; Institute of Human Genetics, University of Bonn, Germany; National Institute of Mental Health, Klecany, Czech Republic; Department of Psychiatry, Indiana University School of Medicine, Indianapolis, IN, United States; Department of Psychiatry and Behavioral Sciences, Howard University Hospital, Washington, DC, United States; Department of Neurobiology, Care sciences, and Society, Karolinska Institutet and Center for Molecular Medicine, Karolinska University Hospital, Stockholm, Sweden";"National Institute of Mental Health; Karolinska Institutet; National Institute of Mental Health; Karolinska Institutet; Karolinska Institutet; University of Gothenburg; Charité - Universitätsmedizin Berlin; Dalhousie University; University of Cagliari; University of Barcelona; University Hospital of Geneva; Karolinska University Hospital; University of Chicago; Portland VA Medical Center; University Hospital Carl Gustav Carus; University of Adelaide; Inserm; University of Barcelona; Medical University of Graz; University of Pennsylvania; University of California, San Diego; Mayo Clinic; Medical University of Graz; Scripps Research Institute; Inserm; National Institute of Mental Health; University of California, San Francisco; McGill University Health Centre; University of Cagliari; University of Bonn; University of Barcelona; University of Iowa Hospitals and Clinics; Translational Genomics Research Institute; Douglas Mental Health University Institute; Poznan University of Medical Sciences; University of Adelaide; University Hospital of Geneva; University of Bonn; University of Cagliari; Department of Psychiatry and Behavioral Sciences, Johns Hopkins School of Medicine, Baltimore, MD, United States; Indiana University; Hôpitaux Universitaires Henri-Mondor; Ludwig-Maximilians-Universität München; Indiana University; University of Bonn; Karolinska Institutet; Mayo Clinic; Neuroscience Research Australia; Centre Hospitalier Charles Perrens; Dalhousie University; University of Chicago; Department of Psychiatry and Behavioral Sciences, Johns Hopkins School of Medicine, Baltimore, MD, United States; University of California, San Diego; Spitalul Clinic de Psihiatrie Alexandru Obregia; Poznan University of Medical Sciences; Ludwig-Maximilians-Universität München; University of Bonn; University of Bonn; Howard University Hospital; University of Adelaide; University of Bonn; University of Bonn; Hôpitaux Universitaires Henri-Mondor; University of Barcelona; University of Lorraine; National Institute of Mental Health; University of California, San Diego; University Hospital Frankfurt; Poznan University of Medical Sciences; Indiana University; Landeskrankenhaus Feldkirch; Medical University of Graz; National Institute of Mental Health; Central Institute of Mental Health; Karolinska University Hospital; Howard University Hospital; Hôpitaux Universitaires Henri-Mondor; VA San Diego Healthcare System; University of Illinois at Chicago; University of Bonn; Department of Psychiatry and Behavioral Sciences, Johns Hopkins School of Medicine, Baltimore, MD, United States; University of Bonn; University of Naples Federico II; University of Cagliari; Karolinska Institutet; VA San Diego Healthcare System; Lindner Center of HOPE; University of Michigan–Ann Arbor; University of California, San Diego; Black Dog Institute; University of Barcelona; Department of Psychiatry and Behavioral Sciences, Johns Hopkins School of Medicine, Baltimore, MD, United States; University of Naples Federico II; Forschungszentrum Jülich; University of California, San Diego; University of Bonn; National Institute of Mental Health; Indiana University; Howard University Hospital; Karolinska University Hospital";"2016";"bioRxiv (Cold Spring Harbor Laboratory)"
"k-BOOM: A Bayesian approach to ontology structure inference, with applications in disease ontology construction";"10.1101/048843";"10.1101/048843";"LBNL; Charite; Charite; University of California at Berkeley; OHSU.";"LBNL; Charité - Universitätsmedizin Berlin; Charité - Universitätsmedizin Berlin; University of California, Berkeley; OHSU.";"2016";"bioRxiv (Cold Spring Harbor Laboratory)"
"Analysis of Shared Heritability in Common Disorders of the Brain";"10.1101/048991";"10.1101/048991";"Broad Institute of MIT and Harvard; Broad Institute of MIT and Harvard; -MIT; UCL institute of Neurology; Broad Inst; *Cardiff University.; Center for Human Genetic Research, Department of Neurology, Massachusetts General Hospital;; Broad Institute of MIT and Harvard; Ludwig-Maximilian University of Munich; Broad Institute of MIT and Harvard; Charitè-Universitätsmedizin Berlin; Broad Institute of MIT and Harvard; New Jersey Inst. of Technology#TAB#; ; ; University College London†; *Cardiff University.; Broad Institute of MIT and Harvard; Ludwig-Maximilian University of Munich; SUNY Upstate Medical University.; University College London†; *Cardiff University.; Virginia Commonwealth University; University Medical Center Utrecht; University of Florida; ; Icahn School of Medicine at Mount Sinai; *Cardiff University.; University College London†; YALE SCHOOL OF MEDICINE.; Broad Institute of MIT and Harvard; ; UNIVERSITY OF NORTH CAROLINA SCHOOL OF MEDICINE;  Department of Neurology Massachusetts General Hospital; Trinity College Dublin; Broad Institute of MIT and Harvard; Trinity College Dublin; Broad Institute of MIT and Harvard";"Broad Institute; Broad Institute; Moscow Institute of Thermal Technology; UCL institute of Neurology; Broad Institute; Cardiff University; Center for Human Genetics; Broad Institute; Ludwig-Maximilians-Universität München; Broad Institute; Charité - Universitätsmedizin Berlin; Broad Institute; New Jersey Institute of Technology; NA; NA; UCL Australia; Cardiff University; Broad Institute; Ludwig-Maximilians-Universität München; SUNY Upstate Medical University; UCL Australia; Cardiff University; Virginia Commonwealth University; University Medical Center Utrecht; University of Florida; NA; Icahn School of Medicine at Mount Sinai; Cardiff University; UCL Australia; Yale University; Broad Institute; NA; UNIVERSITY OF NORTH CAROLINA SCHOOL OF MEDICINE; Massachusetts General Hospital; Trinity College Dublin; Broad Institute; Trinity College Dublin; Broad Institute";"2016";"bioRxiv (Cold Spring Harbor Laboratory)"
"Navigating the phenotype frontier: The Monarch Initiative";"10.1101/059204";"10.1101/059204";"Dept of Medical Informatics, Epidemiology, Library, Oregon Health & Science University, Portland USA;; Institute for Medical Genetics and Human Genetics, Charité Universitätsmedizin, Berlin, Germany; RTI International. Research Triangle Park, NC, USA.; Dept. of Biomedical Informatics, University of Pittsburgh, Pittsburgh, PA; Dept of Medical Informatics, Epidemiology, Library, Oregon Health & Science University, Portland USA;; Environmental Genomics and Systems Biology Lawrence Berkeley National Laboratory Berkeley CA USA; Dept of Medical Informatics, Epidemiology, Library, Oregon Health & Science University, Portland USA;; Environmental Genomics and Systems Biology Lawrence Berkeley National Laboratory Berkeley CA USA; Dept of Medical Informatics, Epidemiology, Library, Oregon Health & Science University, Portland USA;; Dept of Medical Informatics, Epidemiology, Library, Oregon Health & Science University, Portland USA;; Dept of Medical Informatics, Epidemiology, Library, Oregon Health & Science University, Portland USA;; Wellcome Trust Sanger Institute, Hinxton, Cambridge CB10 1SA, UK; Dept of Medical Informatics, Epidemiology, Library, Oregon Health & Science University, Portland USA;; Dept of Medical Informatics, Epidemiology, Library, Oregon Health & Science University, Portland USA;; Environmental Genomics and Systems Biology Lawrence Berkeley National Laboratory Berkeley CA USA; Environmental Genomics and Systems Biology Lawrence Berkeley National Laboratory Berkeley CA USA; Dept of Medical Informatics, Epidemiology, Library, Oregon Health & Science University, Portland USA;; Dept of Medical Informatics, Epidemiology, Library, Oregon Health & Science University, Portland USA;; Dept. of Biomedical Informatics, University of Pittsburgh, Pittsburgh, PA; Environmental Genomics and Systems Biology Lawrence Berkeley National Laboratory Berkeley CA USA; Dept. of Biomedical Informatics, University of Pittsburgh, Pittsburgh, PA; Environmental Genomics and Systems Biology Lawrence Berkeley National Laboratory Berkeley CA USA; Kinghorn Centre for Clinical Genomics, Garvan Institute of Medical Research, Darlinghurst, Australia;; William Harvey Research Institute, Barts & London School of Medicine, Queen Mary University, UK; Institute for Medical Genetics and Human Genetics, Charité Universitätsmedizin, Berlin, Germany; Dept of Medical Informatics, Epidemiology, Library, Oregon Health & Science University, Portland USA;";"Oregon Health & Science University; Charité - Universitätsmedizin Berlin; RTI International; University of Pittsburgh; Oregon Health & Science University; Lawrence Berkeley National Laboratory; Oregon Health & Science University; Lawrence Berkeley National Laboratory; Oregon Health & Science University; Oregon Health & Science University; Oregon Health & Science University; Wellcome Sanger Institute; Oregon Health & Science University; Oregon Health & Science University; Lawrence Berkeley National Laboratory; Lawrence Berkeley National Laboratory; Oregon Health & Science University; Oregon Health & Science University; University of Pittsburgh; Lawrence Berkeley National Laboratory; University of Pittsburgh; Lawrence Berkeley National Laboratory; Garvan Institute of Medical Research; William Harvey Research Institute; Charité - Universitätsmedizin Berlin; Oregon Health & Science University";"2016";"bioRxiv (Cold Spring Harbor Laboratory)"
"Three-dimensional definition of two prominent deep brain stimulation targets based on a multimodal high-definition MNI template";"10.1101/062851";"10.1101/062851";"Charite‐University Medicine Berlin, Germany; Harvard Medical School, BIDMC, Neurology Department, Berenson Allen Center (Boston, MA, USA)";"Charité - Universitätsmedizin Berlin; Harvard Medical School, BIDMC, Neurology Department, Berenson Allen Center (Boston, MA, USA)";"2016";"bioRxiv (Cold Spring Harbor Laboratory)"
"The dynamics of resting fluctuations in the brain: metastability and its dynamical cortical core";"10.1101/065284";"10.1101/065284";"Center for Brain and Cognition, Computational Neuroscience Group, Department of Information and Communication Technologies, Universitat Pompeu Fabra, Roc Boronat 38, Barcelona, 0808, Spain; Institució Catalana de la Recerca i Estudis Avançats (ICREA), Universitat Pompeu Fabra, Passeig Lluís Companys 3, Barcelona, 08010, Spain; Center of Music in the Brain (MIB), Clinical Medicine, Aarhus University, DK; Department of Psychiatry, University of Oxford, Oxford, UK; Institut de Neurosciences des Systèmes UMR INSERM 1106, Aix-Marseille Université, Faculté de Médecine, 27, Boulevard Jean Moulin, 1300 Marseille, France; Max-Planck Institute for Cognitive and Brain Sciences, Leipzig, Germany; Department of Neurology, Charité, Charitéplatz 1, 1011 Berlin";"Pompeu Fabra University; University of Oxford; Institut de Neurosciences des Systèmes; Max Planck Institute for Human Cognitive and Brain Sciences";"2016";"bioRxiv (Cold Spring Harbor Laboratory)"
"Perturbation-response genes reveal signaling footprints in cancer gene expression";"10.1101/065672";"10.1101/065672";"EMBL–European Bioinformatics Institute; Charitè-Universitätsmedizin Berlin; Charitè-Universitätsmedizin Berlin; Wellcome Trust Sanger Institute; Charitè-Universitätsmedizin Berlin; RWTH Aachen University";"European Bioinformatics Institute; Charité - Universitätsmedizin Berlin; Charité - Universitätsmedizin Berlin; Wellcome Sanger Institute; Charité - Universitätsmedizin Berlin; RWTH Aachen University";"2016";"bioRxiv (Cold Spring Harbor Laboratory)"
