nct_id,year,start_date,study_first_submitted_date,days_reg_to_start,has_prospective_registration
NCT01106365,2010,2010-02-28,2010-04-16,-47,FALSE
NCT00511277,2007,2007-08-31,2007-08-02,29,TRUE
NCT00842920,2008,2008-12-31,2009-02-11,-42,FALSE
NCT01064934,2010,2010-09-30,2010-02-08,234,TRUE
NCT04711486,2020,2020-12-08,2020-12-15,-7,TRUE
NCT00277342,2006,2006-01-31,2006-01-12,19,TRUE
NCT01328210,2008,2008-07-31,2011-03-30,-972,FALSE
NCT02667964,2015,2015-11-30,2015-11-24,6,TRUE
NCT02908308,2017,2017-11-18,2016-09-16,428,TRUE
NCT02478034,2015,2015-05-31,2015-06-11,-11,FALSE
NCT03652220,2018,2018-08-27,2018-08-22,5,TRUE
NCT05318248,2022,2022-03-01,2022-03-16,-15,TRUE
NCT04248140,2019,2019-09-01,2020-01-23,-144,FALSE
NCT02357706,2015,2015-01-31,2015-01-27,4,TRUE
NCT00552981,2007,2007-11-30,2007-11-01,29,TRUE
NCT00596986,2008,2008-10-31,2008-01-08,297,TRUE
NCT00884364,2009,2009-05-31,2009-04-17,44,TRUE
NCT06112665,2023,2023-11-10,2023-10-29,12,TRUE
NCT00598611,2007,2007-09-30,2008-01-10,-102,FALSE
NCT02268695,2014,2014-10-10,2014-10-13,-3,TRUE
NCT02906475,2016,2016-11-30,2016-09-15,76,TRUE
NCT02232828,2014,2014-10-31,2014-08-29,63,TRUE
NCT01801280,2012,2012-01-31,2013-02-13,-379,FALSE
NCT03824886,2018,2018-10-01,2019-01-21,-112,FALSE
NCT00538928,2007,2007-09-30,2007-10-02,-2,FALSE
NCT00615732,2008,2008-03-31,2008-02-01,59,TRUE
NCT01815528,2013,2013-03-31,2013-03-14,17,TRUE
NCT01061190,2010,2010-01-31,2010-02-01,-1,FALSE
NCT05008809,2021,2021-12-06,2021-08-06,122,TRUE
NCT00600847,2006,2006-11-30,2008-01-15,-411,FALSE
NCT04612725,2020,2020-10-27,2020-09-18,39,TRUE
NCT04175249,2019,2019-11-26,2019-11-21,5,TRUE
NCT01836588,2013,2013-03-31,2013-03-13,18,TRUE
NCT01390350,2011,2011-07-31,2011-07-07,24,TRUE
NCT02676414,2015,2015-08-31,2016-02-04,-157,FALSE
NCT00409409,2006,2006-12-31,2006-12-07,24,TRUE
NCT01382862,2011,2011-05-31,2011-06-21,-21,FALSE
NCT00953602,2009,2009-04-30,2009-08-05,-97,FALSE
NCT02421172,2015,2015-04-13,2015-03-18,26,TRUE
NCT03513744,2018,2018-11-19,2018-04-12,221,TRUE
NCT00942747,2009,2009-07-31,2009-07-20,11,TRUE
NCT00531726,2007,2007-09-30,2007-09-18,12,TRUE
NCT01578213,2011,2011-11-09,2012-04-13,-156,FALSE
NCT00951834,2009,2009-10-31,2009-08-03,89,TRUE
NCT02888236,2016,2016-09-30,2016-08-30,31,TRUE
NCT02339597,2014,2014-01-31,2014-01-27,4,TRUE
NCT01258257,2011,2011-01-31,2010-12-09,53,TRUE
NCT03402074,2017,2017-11-01,2018-01-10,-70,FALSE
NCT02387697,2015,2015-01-31,2015-02-27,-27,FALSE
NCT05238753,2022,2022-01-21,2022-02-03,-13,FALSE
NCT03749135,2018,2018-11-12,2018-07-12,123,TRUE
NCT04727073,2018,2018-11-01,2019-01-28,-88,FALSE
NCT02740361,2017,2017-02-15,2016-04-12,309,TRUE
NCT02019134,2014,2014-03-31,2013-12-18,103,TRUE
NCT04695184,2019,2019-02-01,2020-12-22,-690,FALSE
NCT05193903,2022,2022-02-03,2021-12-14,51,TRUE
NCT02540395,2015,2015-03-31,2015-08-19,-141,FALSE
NCT00672334,2008,2008-05-31,2008-05-01,30,TRUE
NCT00419081,2006,2006-07-31,2007-01-05,-158,FALSE
NCT04524377,2019,2019-07-25,2020-08-14,-386,FALSE
NCT03360734,2017,2017-11-02,2017-11-20,-18,TRUE
NCT02094287,2010,2010-09-30,2014-03-17,-1264,FALSE
NCT02158988,2014,2014-03-01,2014-05-04,-64,FALSE
NCT02299089,2015,2015-01-31,2014-11-17,75,TRUE
NCT03856190,2019,2019-03-18,2019-01-24,53,TRUE
