nct_id,completion_date,results_first_submitted_date,days_compl_to_summary,summary_result_12_month,summary_result_24_month,study_type,overall_status
NCT04252976,2019-09-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT04229069,2015-12-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT04055233,2018-10-20,NA,NA,FALSE,FALSE,Interventional,Completed
NCT04032600,2019-09-09,NA,NA,FALSE,FALSE,Interventional,Completed
NCT03815240,2019-07-23,2020-04-06,258,TRUE,TRUE,Interventional,Completed
NCT03808948,2019-08-17,NA,NA,FALSE,FALSE,Interventional,Completed
NCT03773081,2019-09-15,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT03646097,2019-03-15,NA,NA,FALSE,FALSE,Interventional,Completed
NCT03625167,2018-12-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT03525093,2019-01-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT03512925,2019-06-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT03485716,2017-12-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT03467412,2018-08-22,2020-09-30,770,FALSE,FALSE,Interventional,Completed
NCT03402074,2018-12-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT03312816,2017-12-08,NA,NA,FALSE,FALSE,Interventional,Completed
NCT03281616,2015-09-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT03220386,2018-08-01,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT03216148,2019-07-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT03157076,2019-04-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT03121885,2018-11-01,NA,NA,FALSE,FALSE,Interventional,Completed
NCT03114306,2017-08-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT03104166,2019-08-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT03094520,2018-10-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT03081897,2019-07-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT03062150,2019-02-11,NA,NA,FALSE,FALSE,Interventional,Completed
NCT03046381,2019-04-10,NA,NA,FALSE,FALSE,Interventional,Completed
NCT03031405,2018-06-30,NA,NA,FALSE,FALSE,Interventional,Completed
