year,no_prosp_reg,has_prosp_reg,prop_prosp_reg,n_preprints,n_preprints_with_articles,perc_preprints_with_articles
2006,11,11,0.5,NA,NA,NA
2007,22,11,0.333,NA,NA,NA
2008,14,9,0.391,NA,NA,NA
2009,16,23,0.59,NA,NA,NA
2010,25,23,0.479,NA,NA,NA
2011,21,20,0.488,NA,NA,NA
2012,13,21,0.618,NA,NA,NA
2013,15,23,0.605,NA,NA,NA
2014,15,28,0.651,NA,NA,NA
2015,16,25,0.61,NA,NA,NA
2016,11,25,0.694,27,22,0.8148148148148148
2017,11,23,0.676,74,55,0.7432432432432432
2018,9,26,0.743,148,114,0.7702702702702703
2019,10,17,0.63,247,176,0.7125506072874493
2020,8,25,0.758,560,397,0.7089285714285715
2021,6,22,0.786,637,443,0.695447409733124
2022,5,22,0.815,610,411,0.6737704918032786
2023,4,31,0.886,638,346,0.542319749216301
2024,0,28,1,635,226,0.35590551181102364
