article,best_identifier,repository,repository_re3data,repository_type,license_fuji,license_numbat,guid_scheme_fuji,fuji_percent,fuji_percent_f,fuji_percent_a,fuji_percent_i,fuji_percent_r,fuji_percent_f1,fuji_percent_f2,fuji_percent_f3,fuji_percent_f4,fuji_percent_a1,fuji_percent_i1,fuji_percent_i2,fuji_percent_i3,fuji_percent_r1,fuji_percent_r1_1,fuji_percent_r1_2,fuji_percent_r1_3,FsF-F1-01D,FsF-F1-02D,FsF-F2-01M,FsF-F3-01M,FsF-F4-01M,FsF-A1-01M,FsF-A1-02M,FsF-A1-03D,FsF-I1-01M,FsF-I2-01M,FsF-I3-01M,FsF-R1-01MD,FsF-R1.1-01M,FsF-R1.2-01M,FsF-R1.3-01M,FsF-R1.3-02D
10.1093/scan/nsab109,https://osf.io/r7g9q/,OSF,Open Science Framework,general-purpose repository,CC BY,CC BY,url,29.17,42.86,33.33,0,30,50,50,0,50,33.33,0,0,0,25,50,50,0,100,0,50,0,50,0,100,0,0,0,0,25,50,50,0,0
10.1093/ve/veab030,https://www.ncbi.nlm.nih.gov/nuccore/MW208755,NCBI Nucleotide,NCBI Nucleotide,field-specific repository,no license,NULL,url,4.17,14.29,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1093/ve/veab036,https://www.ncbi.nlm.nih.gov/nuccore/MN555567,NCBI Nucleotide,NCBI Nucleotide,field-specific repository,no license,NULL,url,4.17,14.29,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1096/fj.202002658RR,https://www.ebi.ac.uk/pride/archive/projects/PXD022350,PRoteomics IDEntifications Database,PRoteomics IDEntifications Database,field-specific repository,no license,CC0,url,14.58,35.71,33.33,0,0,50,25,0,50,33.33,0,0,0,0,0,0,0,100,0,25,0,50,0,100,0,0,0,0,0,0,0,0,0
10.1098/rsos.201494,https://osf.io/738yf/,OSF,Open Science Framework,general-purpose repository,no license,CC0,url,4.17,14.29,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1098/rsos.210155,https://osf.io/ftb9c/,OSF,Open Science Framework,general-purpose repository,no license,NULL,url,4.17,14.29,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1098/rspb.2021.0328,https://doi.org/10.5061/dryad.66t1g1k27,DRYAD,DRYAD,general-purpose repository,Public Domain,CC0,doi,70.83,100,100,50,50,100,100,100,100,100,100,0,0,25,50,50,100,100,100,100,100,100,100,100,100,100,0,0,25,50,50,100,100
10.1098/rspb.2021.0328,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR12059634,SRA,Sequence Read Archive,field-specific repository,no license,NULL,url,14.58,35.71,33.33,0,0,50,25,0,50,33.33,0,0,0,0,0,0,0,100,0,25,0,50,0,100,0,0,0,0,0,0,0,0,0
10.1098/rsta.2020.0202,https://oar.ptb.de/resources/show/10.7795/710.20201113,PTB-OAR,PTB-OAR,general-purpose repository,no license,CC BY,url,4.17,14.29,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1101/gr.269233.120,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159907,GEO,Gene Expression Omnibus,field-specific repository,no license,NULL,url,14.58,35.71,33.33,0,0,50,25,0,50,33.33,0,0,0,0,0,0,0,100,0,25,0,50,0,100,0,0,0,0,0,0,0,0,0
10.1111/cge.13977,https://www.ncbi.nlm.nih.gov/nuccore/NM_013275.6?report=fasta&to=9301,NCBI Nucleotide,NCBI Nucleotide,field-specific repository,no license,NULL,url,4.17,14.29,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1111/medu.14596,https://osf.io/92swt/?view_only=faec41999e4848ef9535139dfe982c1c,OSF,Open Science Framework,general-purpose repository,CC BY,CC BY,url,43.75,71.43,50,25,30,100,50,0,100,50,50,0,0,25,50,50,0,100,100,50,0,100,50,100,0,50,0,0,25,50,50,0,0
10.1111/nan.12741,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168808,GEO,Gene Expression Omnibus,field-specific repository,no license,NULL,url,14.58,35.71,33.33,0,0,50,25,0,50,33.33,0,0,0,0,0,0,0,100,0,25,0,50,0,100,0,0,0,0,0,0,0,0,0
10.1111/tbed.14266,https://www.ncbi.nlm.nih.gov/nuccore/MW057694,NCBI Nucleotide,NCBI Nucleotide,field-specific repository,no license,NULL,url,4.17,14.29,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1111/tbed.14406,https://www.ncbi.nlm.nih.gov/nuccore/MW072297,NCBI Nucleotide,NCBI Nucleotide,field-specific repository,no license,NULL,url,4.17,14.29,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1136/bmjopen-2021-053096,https://doi.org/10.5281/zenodo.4669937,Zenodo,Zenodo,general-purpose repository,CC BY,CC BY,doi,79.17,100,100,75,60,100,100,100,100,100,100,0,100,25,100,50,100,100,100,100,100,100,100,100,100,100,0,100,25,100,50,100,100
10.1136/jitc-2020-002226,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE175699,GEO,Gene Expression Omnibus,field-specific repository,no license,NULL,url,14.58,35.71,33.33,0,0,50,25,0,50,33.33,0,0,0,0,0,0,0,100,0,25,0,50,0,100,0,0,0,0,0,0,0,0,0
10.1136/jitc-2021-002844,https://www.ebi.ac.uk/ena/browser/view/PRJEB35507,ENA,European Nucleotide Archive,field-specific repository,no license,NULL,url,14.58,35.71,33.33,0,0,50,25,0,50,33.33,0,0,0,0,0,0,0,100,0,25,0,50,0,100,0,0,0,0,0,0,0,0,0
10.1158/0008-5472.CAN-21-1621,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90805,GEO,Gene Expression Omnibus,field-specific repository,no license,NULL,url,14.58,35.71,33.33,0,0,50,25,0,50,33.33,0,0,0,0,0,0,0,100,0,25,0,50,0,100,0,0,0,0,0,0,0,0,0
10.1158/2159-8290.CD-21-0276,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163579,GEO,Gene Expression Omnibus,field-specific repository,no license,NULL,url,14.58,35.71,33.33,0,0,50,25,0,50,33.33,0,0,0,0,0,0,0,100,0,25,0,50,0,100,0,0,0,0,0,0,0,0,0
10.1158/2159-8290.CD-21-0276,https://osf.io/bupge/,OSF,Open Science Framework,general-purpose repository,no license,NULL,url,25,42.86,33.33,0,20,50,50,0,50,33.33,0,0,0,25,0,50,0,100,0,50,0,50,0,100,0,0,0,0,25,0,50,0,0
10.1158/2326-6066.CIR-20-0555,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165332,GEO,Gene Expression Omnibus,field-specific repository,no license,NULL,url,14.58,35.71,33.33,0,0,50,25,0,50,33.33,0,0,0,0,0,0,0,100,0,25,0,50,0,100,0,0,0,0,0,0,0,0,0
10.1158/2643-3230.BCD-19-0059,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR12801265,SRA,Sequence Read Archive,field-specific repository,no license,NULL,url,14.58,35.71,33.33,0,0,50,25,0,50,33.33,0,0,0,0,0,0,0,100,0,25,0,50,0,100,0,0,0,0,0,0,0,0,0
10.1172/jci.insight.145994,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR13999246,SRA,Sequence Read Archive,field-specific repository,no license,NULL,url,14.58,35.71,33.33,0,0,50,25,0,50,33.33,0,0,0,0,0,0,0,100,0,25,0,50,0,100,0,0,0,0,0,0,0,0,0
10.1172/jci.insight.150107,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE180557,GEO,Gene Expression Omnibus,field-specific repository,no license,NULL,url,14.58,35.71,33.33,0,0,50,25,0,50,33.33,0,0,0,0,0,0,0,100,0,25,0,50,0,100,0,0,0,0,0,0,0,0,0
10.1172/JCI139076,https://www.ebi.ac.uk/pride/archive/projects/PXD014260,PRoteomics IDEntifications Database,PRoteomics IDEntifications Database,field-specific repository,no license,CC0,url,14.58,35.71,33.33,0,0,50,25,0,50,33.33,0,0,0,0,0,0,0,100,0,25,0,50,0,100,0,0,0,0,0,0,0,0,0
