doi,title,journal_title,year
10.1101/036848,"Ageing, TOR and amino acid restriction: a cross-tissue transcriptional network connects GATA factors to Drosophila longevity",bioRxiv (Cold Spring Harbor Laboratory),2016
10.7287/peerj.preprints.1837v1,Healthy and disturbed sleep: from the laboratory to actigraphy,PeerJ Preprints,2016
10.1101/044818,Notions of similarity for computational biology models,bioRxiv (Cold Spring Harbor Laboratory),2016
10.1101/044412,"Genome-wide association study of 40,000 individuals identifies two novel loci associated with bipolar disorder",bioRxiv (Cold Spring Harbor Laboratory),2016
10.1101/048843,"k-BOOM: A Bayesian approach to ontology structure inference, with applications in disease ontology construction",bioRxiv (Cold Spring Harbor Laboratory),2016
10.1101/048991,Analysis of Shared Heritability in Common Disorders of the Brain,bioRxiv (Cold Spring Harbor Laboratory),2016
10.1101/059204,Navigating the phenotype frontier: The Monarch Initiative,bioRxiv (Cold Spring Harbor Laboratory),2016
10.1101/062851,Three-dimensional definition of two prominent deep brain stimulation targets based on a multimodal high-definition MNI template,bioRxiv (Cold Spring Harbor Laboratory),2016
10.1101/065284,The dynamics of resting fluctuations in the brain: metastability and its dynamical cortical core,bioRxiv (Cold Spring Harbor Laboratory),2016
10.1101/065672,Perturbation-response genes reveal signaling footprints in cancer gene expression,bioRxiv (Cold Spring Harbor Laboratory),2016
10.1101/068593,Common schizophrenia alleles are enriched in mutation-intolerant genes and maintained by background selection,bioRxiv (Cold Spring Harbor Laboratory),2016
10.1101/068668,Excitability in the p53 network mediates robust signaling with tunable activation thresholds in single cells,bioRxiv (Cold Spring Harbor Laboratory),2016
10.1101/069096,DeepWAS: Multivariate genotype-phenotype associations by directly integrating regulatory information using deep learning,bioRxiv (Cold Spring Harbor Laboratory),2016
10.1101/066548,HLA-MA: Simple yet powerful matching of samples using HLA typing results,bioRxiv (Cold Spring Harbor Laboratory),2016
10.1101/071597,Consistency of EEG source localization and connectivity estimates,bioRxiv (Cold Spring Harbor Laboratory),2016
10.1101/072892,CIViC: A knowledgebase for expert-crowdsourcing the clinical interpretation of variants in cancer,bioRxiv (Cold Spring Harbor Laboratory),2016
10.1101/073593,Genome-wide binding of posterior HOXA/D transcription factors reveals subgrouping and association with CTCF,bioRxiv (Cold Spring Harbor Laboratory),2016
10.1101/085548,Bridging multiple scales in the human brain using computational modelling,bioRxiv (Cold Spring Harbor Laboratory),2016
10.1101/055756,The Monarch Initiative: An integrative data and analytic platform connecting phenotypes to genotypes across species,bioRxiv (Cold Spring Harbor Laboratory),2016
